site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,0,verbatim,hero,905,no,no,,verbatim,section-html,code_block,yes,no,whole section kept verbatim (hero / media-bearing / undecomposable) → code_block,,hero,Collection 2025 — Polar Series Engineered for the Edge of Earth Precision-fabricated exped
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,1,decomposed,bento-section,1462,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h2,section-title,Precision atevery layer
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,1,decomposed,bento-section,1462,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Flagship · Layer 3 Shell Polaris Membrane Shell System Triple-layer ePTFE membrane with gr
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,1,decomposed,bento-section,1462,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,"Environment Current Conditions − 49 °C Ny-Ålesund, Svalbard 91% Humidity 180km/h Wind 0 lu"
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,1,decomposed,bento-section,1462,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Navigation Suite Meridian GPS Transponder Tri-frequency satellite acquisition. 200-hour ba
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,1,decomposed,bento-section,1462,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Thermal Core 900-Fill Down System $890 New
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,1,decomposed,bento-section,1462,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Footwear Boreal Boot System Insulation 800g Primaloft Sole Vibram Arctic Rating −70°C
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,1,decomposed,bento-section,1462,no,no,,row-cell,card,icon_box,no,no,card → icon_box,,,Layering System Gear Selection Base Layer Merino 250gsm · Odor control $220 Mid Fleece Gri
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,2,decomposed,features-section,1121,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h2,section-title,Engineered tomolecular precision
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,2,decomposed,features-section,1121,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,"Hydrophobic Membrane Nano-scale ePTFE nodes repel water at the molecular boundary, maintai"
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,2,decomposed,features-section,1121,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Phase-Change Thermal Aerogel micro-spheres embedded in the lining store and release heat i
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,2,decomposed,features-section,1121,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Graphene Reinforcement Single-atom carbon lattice woven into the face fabric creates a 340
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,2,decomposed,features-section,1121,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,"Tri-Band Navigation Simultaneous GPS, GLONASS, and Galileo acquisition delivers 2cm accura"
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,2,decomposed,features-section,1121,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Solid-State Power Lithium ceramic cells maintain full charge capacity at −60°C where conve
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,2,decomposed,features-section,1121,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Biometric Calibration Equipment sizing algorithm accounts for cold-induced vasoconstrictio
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,3,decomposed,testimonial-section,562,no,no,,text,text,text_block,no,no,text → text_block,span,eyebrow-text,Expedition Log
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,3,decomposed,testimonial-section,562,no,no,,text,text,text_block,no,no,text → text_block,div,testimonial-mark,""""
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,3,decomposed,testimonial-section,562,no,no,,text,text,text_block,no,no,text → text_block,p,testimonial-quote,"At the magnetic north pole, at −63°C and 200km/h sustained winds, the Polaris Shell did no"
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,3,decomposed,testimonial-section,562,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,EK
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,3,decomposed,testimonial-section,562,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Dr. Erika Kjelström Lead Researcher — Arctic Institute of Norway
