kind,target,evidence,suggested_fx,confidence
trace,trace#0,pinned for ~731px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
trace,trace#8,document position drifts 314px over 745px of scroll,gsap_motion: {effect:'parallax'} (ratio ≈ 0.42),medium
css-animation,.kinetic-sway,infinite keyframes 'sway' translating X,marquee fx: {mode:'left'},high
css-animation,.animate-pulse,infinite keyframes 'pulse' (opacity),physics float/pulse or backgrounds module,low
hover,.nav-link,"color, text-shadow change on hover",interaction: {effect:'color_shift'},medium
hover,.dew-drop,"transform, background-color, box-shadow change on hover","interaction: {effect:'scale', scale:{style:'in'}}",medium
hover,.rhizome-link,"opacity, color, transform change on hover",interaction: {effect:'color_shift'},medium
hover,dew-drop retina-border px-6 py-2.5 rounded-full font-sans te,"transform, boxShadow, background change on hover",interaction: {effect:'color_shift'},medium
hover,dew-drop retina-border px-8 py-4 rounded-full font-sans text,"transform, boxShadow, background change on hover",interaction: {effect:'color_shift'},medium
hover,font-serif text-sm text-white rhizome-link flex items-center,"transform, color change on hover",interaction: {effect:'color_shift'},medium
