kind,target,evidence,suggested_fx,confidence
trace,trace#0,pinned for ~747px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
trace,trace#3,pinned for ~747px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
css-animation,.wind-sway,infinite keyframes 'wind' translating X,marquee fx: {mode:'left'},high
css-animation,.pulse-react,"infinite keyframes 'pulseReact' (transform,opacity)",physics float/pulse or backgrounds module,low
css-animation,.float-core,infinite keyframes 'drift' (transform),physics float/pulse or backgrounds module,low
css-animation,.scroll-grow,keyframes 'grow' auto,entrance animation (Animate.css picker),low
hover,.dew,"transform, box-shadow change on hover",interaction: {effect:'lift'},medium
hover,.hover\:bg-white\/\[0\.05\],background-color change on hover,interaction: {effect:'color_shift'},medium
hover,.hover\:text-reactor,"--tw-text-opacity, color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:text-white,"--tw-text-opacity, color change on hover",interaction: {effect:'color_shift'},medium
hover,rounded-[2rem] border border-white/10 bg-white/[0.03] px-8 p,"background, color change on hover",interaction: {effect:'color_shift'},medium
