site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,0,decomposed,relative h-screen w-screen overflow-hidden bg-stark-white,900,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h2,kinetic-header font-syne text-[11vw] leading-[0.85] uppercase tracking-tighter,UrbanVisionary
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,0,decomposed,relative h-screen w-screen overflow-hidden bg-stark-white,900,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Enter Archive
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,0,decomposed,relative h-screen w-screen overflow-hidden bg-stark-white,900,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Refractive optics for the modern monolith.
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,0,decomposed,relative h-screen w-screen overflow-hidden bg-stark-white,900,no,no,,video,video,media_video,no,no,video → media_video (self-hosted),,,
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,0,decomposed,relative h-screen w-screen overflow-hidden bg-stark-white,900,no,no,,text,text,text_block,no,no,text → text_block,span,font-syne text-[10px] tracking-[0.5em] uppercase mb-2,Latitude 52.5200
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,1,verbatim,py-40 bg-stark-white overflow-hidden,1319,no,no,,verbatim,section-html,code_block,yes,no,whole section kept verbatim (hero / media-bearing / undecomposable) → code_block,,py-40 bg-stark-white overflow-hidden,Lookbook_01 Raw Selvedge 14.5oz Japanese Denim Structural Fit Monochrome Layering
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,2,decomposed,min-h-screen bg-stark-white border-y border-denim-black grid grid-cols-1 md:grid-cols-4 @container,900,no,yes,"borderTop=1px solid rgb(8, 8, 8) | borderBottom=1px solid rgb(8, 8, 8)",heading,heading,special_heading,no,no,heading → special_heading,h4,font-syne text-2xl uppercase leading-none mb-8,RefractiveOptics
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,2,decomposed,min-h-screen bg-stark-white border-y border-denim-black grid grid-cols-1 md:grid-cols-4 @container,900,no,yes,"borderTop=1px solid rgb(8, 8, 8) | borderBottom=1px solid rgb(8, 8, 8)",text,text,text_block,no,no,text → text_block,div,magazine-column font-syne text-[8px] tracking-[0.6em] uppercase opacity-20,Visionary Systems // Sector 09
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,2,decomposed,min-h-screen bg-stark-white border-y border-denim-black grid grid-cols-1 md:grid-cols-4 @container,900,no,yes,"borderTop=1px solid rgb(8, 8, 8) | borderBottom=1px solid rgb(8, 8, 8)",row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Model_Alpha / Silver Lens
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,2,decomposed,min-h-screen bg-stark-white border-y border-denim-black grid grid-cols-1 md:grid-cols-4 @container,900,no,yes,"borderTop=1px solid rgb(8, 8, 8) | borderBottom=1px solid rgb(8, 8, 8)",row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Model_Beta / Obsidian Edge
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,2,decomposed,min-h-screen bg-stark-white border-y border-denim-black grid grid-cols-1 md:grid-cols-4 @container,900,no,yes,"borderTop=1px solid rgb(8, 8, 8) | borderBottom=1px solid rgb(8, 8, 8)",row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Structural_Frame / 001
