site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,0,decomposed,relative min-h-screen flex flex-col items-center justify-center pt-20 overflow-hidden,900,no,no,,video,video,media_video,no,no,video → media_video (self-hosted),,,
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,0,decomposed,relative min-h-screen flex flex-col items-center justify-center pt-20 overflow-hidden,900,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,0,decomposed,relative min-h-screen flex flex-col items-center justify-center pt-20 overflow-hidden,900,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h1,text-5xl md:text-7xl lg:text-8xl font-bold tracking-tight mb-6,Ideas become images.
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,0,decomposed,relative min-h-screen flex flex-col items-center justify-center pt-20 overflow-hidden,900,no,no,,button,button,button,no,no,button → button,a,group relative inline-flex items-center justify-center gap-2 px-8 py-4 bg-brand text-zinc-950 rounded-full font-medium text-lg hover:bg-brand-light transition-colors duration-300,Start Creating
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,0,decomposed,relative min-h-screen flex flex-col items-center justify-center pt-20 overflow-hidden,900,no,no,,text,text,text_block,no,no,text → text_block,p,text-xs font-semibold tracking-widest text-white uppercase mb-8,Trusted by creators at
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,0,decomposed,relative min-h-screen flex flex-col items-center justify-center pt-20 overflow-hidden,900,no,no,,text,text,text_block,no,no,text → text_block,div,flex flex-wrap justify-center items-center gap-8 md:gap-16 opacity-60 grayscale hover:grayscale-0 transition-all duration-500,OpenAI Midjourney Adobe Runway Canva
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,1,decomposed,py-32 px-6 relative border-t border-zinc-900 bg-[#09090b],747,no,yes,"borderTop=1px solid rgb(24, 24, 27)",heading,heading,special_heading,no,no,heading → special_heading,h2,text-3xl md:text-5xl font-bold mb-6,Unleash your creativity
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,1,decomposed,py-32 px-6 relative border-t border-zinc-900 bg-[#09090b],747,no,yes,"borderTop=1px solid rgb(24, 24, 27)",row-cell,card,icon_box,no,no,card → icon_box,,,Lightning Fast Generate batches of high-resolution images in under 3 seconds. Our optimize
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,1,decomposed,py-32 px-6 relative border-t border-zinc-900 bg-[#09090b],747,no,yes,"borderTop=1px solid rgb(24, 24, 27)",row-cell,card,icon_box,no,no,card → icon_box,,,Infinite Upscaling Enhance details and scale your images up to 8K resolution without losin
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,1,decomposed,py-32 px-6 relative border-t border-zinc-900 bg-[#09090b],747,no,yes,"borderTop=1px solid rgb(24, 24, 27)",row-cell,card,icon_box,no,no,card → icon_box,,,Style Control Direct the exact aesthetic you need. From photorealism to specific artistic 
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,2,decomposed,py-24 px-6 bg-zinc-950 border-t border-zinc-900,953,no,yes,"borderTop=1px solid rgb(24, 24, 27)",testimonials,testimonials,testimonials,no,no,testimonials → testimonials,,,
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,3,decomposed,py-32 px-6 border-t border-zinc-900 bg-[#09090b],829,no,yes,"borderTop=1px solid rgb(24, 24, 27)",heading,heading,special_heading,no,no,heading → special_heading,h2,text-3xl md:text-5xl font-bold mb-6,"Simple, transparent pricing"
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,3,decomposed,py-32 px-6 border-t border-zinc-900 bg-[#09090b],829,no,yes,"borderTop=1px solid rgb(24, 24, 27)",pricing,pricing,pricing_table,no,no,pricing → code_block (unmapped),,,
