kind,target,evidence,suggested_fx,confidence
trace,trace#0,pinned for ~4279px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
css-animation,.animate-pulse,infinite keyframes 'pulse' (opacity),physics float/pulse or backgrounds module,low
hover,.glass-card,"border-top-color, border-right-color, border-bottom-color, border-left-color change on hover",interaction: {effect:'lift'} or glow_border,medium
hover,::-webkit-scrollbar-thumb,background-color change on hover,interaction: {effect:'color_shift'},medium
hover,.hover\:border-amber-400,"--tw-border-opacity, border-top-color, border-right-color, border-bottom-color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:bg-white,"--tw-bg-opacity, background-color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:bg-white\/10,background-color change on hover,interaction: {effect:'color_shift'},medium
hover,.hover\:bg-cosmic-nebula\/20,background-color change on hover,interaction: {effect:'color_shift'},medium
hover,.hover\:text-amber-400,"--tw-text-opacity, color change on hover",interaction: {effect:'color_shift'},medium
hover,.group .group-hover\:bg-amber-400\/10,background-color change on hover,interaction: {effect:'color_shift'},medium
hover,.group .group-hover\:text-cosmic-void,"--tw-text-opacity, color change on hover",interaction: {effect:'color_shift'},medium
hover,.group .group-hover\:text-amber-400,"--tw-text-opacity, color change on hover",interaction: {effect:'color_shift'},medium
hover,.group .group-hover\:grayscale-0,"--tw-grayscale, filter change on hover",interaction: {effect:'grayscale'|'brightness'},medium
hover,w-full sm:w-auto px-8 py-4 bg-amber-400 text-cosmic-void fon,background change on hover,interaction: {effect:'color_shift'},medium
hover,w-full sm:w-auto px-8 py-4 bg-white/5 border border-white/10,background change on hover,interaction: {effect:'color_shift'},medium
hover,glass-card p-10 transition-all duration-500 flex flex-col ju,"boxShadow, borderColor change on hover",interaction: {effect:'color_shift'},medium
hover,w-12 h-12 border border-white/10 flex items-center justify-c,"color, borderColor change on hover",interaction: {effect:'color_shift'},medium
hover,glass-card overflow-hidden group,"boxShadow, borderColor change on hover",interaction: {effect:'color_shift'},medium
hover,w-full sm:w-auto h-14 bg-amber-400 text-cosmic-void font-bol,background change on hover,interaction: {effect:'color_shift'},medium
