site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,0,decomposed,relative mt-6 overflow-hidden rounded-[36px] soft-edge p-4 sm:p-6 lg:p-8,920,no,yes,"borderTop=1px solid rgba(0, 0, 0, 0) | borderBottom=1px solid rgba(0, 0, 0, 0) | borderLeft=1px solid rgba(0, 0, 0, 0) | borderRight=1px solid rgba(0, 0, 0, 0) | borderRadius=36px | gradient=linear-gradient(rgba(255, 255, 255, 0.78), rgba(255, 255, 255, 0.56)), linear-gradient(135deg, rgba(255, 255, 255, 0.9), rgba(148, 163, 184, 0.18), rgba(255, 255, 255, 0.45))",html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,0,decomposed,relative mt-6 overflow-hidden rounded-[36px] soft-edge p-4 sm:p-6 lg:p-8,920,no,yes,"borderTop=1px solid rgba(0, 0, 0, 0) | borderBottom=1px solid rgba(0, 0, 0, 0) | borderLeft=1px solid rgba(0, 0, 0, 0) | borderRight=1px solid rgba(0, 0, 0, 0) | borderRadius=36px | gradient=linear-gradient(rgba(255, 255, 255, 0.78), rgba(255, 255, 255, 0.56)), linear-gradient(135deg, rgba(255, 255, 255, 0.9), rgba(148, 163, 184, 0.18), rgba(255, 255, 255, 0.45))",pricing,pricing,pricing_table,no,no,pricing → code_block (unmapped),,,
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,1,decomposed,mt-6 grid gap-6 lg:grid-cols-[0.95fr_1.05fr],436,no,no,,row-cell,text,text_block,no,no,text cell → text_block,,,Selected mode Billing orchestration
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,1,decomposed,mt-6 grid gap-6 lg:grid-cols-[0.95fr_1.05fr],436,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,View Transition
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,1,decomposed,mt-6 grid gap-6 lg:grid-cols-[0.95fr_1.05fr],436,no,no,,text,text,text_block,no,no,text → text_block,p,mt-4 max-w-xl text-sm leading-7 text-slate-600,"Consolidate invoicing, usage rating, contract terms, and multi-currency collection into a "
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,1,decomposed,mt-6 grid gap-6 lg:grid-cols-[0.95fr_1.05fr],436,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,ISO 20022 Structured remittance payloads.
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,1,decomposed,mt-6 grid gap-6 lg:grid-cols-[0.95fr_1.05fr],436,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Posting Idempotent double-entry updates.
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,1,decomposed,mt-6 grid gap-6 lg:grid-cols-[0.95fr_1.05fr],436,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Control Policy-driven release logic.
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,1,decomposed,mt-6 grid gap-6 lg:grid-cols-[0.95fr_1.05fr],436,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,"Treasury mesh Liquidity + routing Balance rails, reserves, and payout windows with a unifi"
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,1,decomposed,mt-6 grid gap-6 lg:grid-cols-[0.95fr_1.05fr],436,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,"Reconciliation Exception handling Surface mismatches with audit-ready traces, supporting r"
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,1,decomposed,mt-6 grid gap-6 lg:grid-cols-[0.95fr_1.05fr],436,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Operational cadence Every surface responds like a physical instrument. Native scroll-timel
