site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=enterprice&slug=cristo-redentor,home,0,verbatim,relative min-h-[100svh],900,no,no,,verbatim,section-html,code_block,yes,no,whole section kept verbatim (hero / media-bearing / undecomposable) → code_block,,relative min-h-[100svh],"Cristo Redentor Iconographic preservation, aerial cartography, and panoramic biodiversity "
https://openhero.art/api/preview?category=enterprice&slug=cristo-redentor,home,1,decomposed,relative mx-auto max-w-[1600px] px-6 py-24 md:px-10,614,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h2,"serif mt-5 text-[clamp(2.6rem,5vw,5rem)] leading-[.95] text-[#101927]","A cultural landmark shaped by sky, stone, and coastal light."
https://openhero.art/api/preview?category=enterprice&slug=cristo-redentor,home,1,decomposed,relative mx-auto max-w-[1600px] px-6 py-24 md:px-10,614,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Iconographic preservation Conservation practices designed to protect the statue’s visual i
https://openhero.art/api/preview?category=enterprice&slug=cristo-redentor,home,1,decomposed,relative mx-auto max-w-[1600px] px-6 py-24 md:px-10,614,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Aerial cartography Aerial perspective and route mapping that translate the experience of a
https://openhero.art/api/preview?category=enterprice&slug=cristo-redentor,home,1,decomposed,relative mx-auto max-w-[1600px] px-6 py-24 md:px-10,614,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,"Monumental telemetry Quiet operational insight for preservation, visitor flow, environment"
https://openhero.art/api/preview?category=enterprice&slug=cristo-redentor,home,2,decomposed,relative mx-auto max-w-[1600px] px-6 py-24 md:px-10,614,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h2,"serif mt-5 text-[clamp(2.5rem,5vw,4.8rem)] leading-[.95] text-[#10203a]","Rio’s Atlantic breeze, forest canopy, and ocean horizon flow together."
https://openhero.art/api/preview?category=enterprice&slug=cristo-redentor,home,2,decomposed,relative mx-auto max-w-[1600px] px-6 py-24 md:px-10,614,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,"Golden Hour Amber Warm light leaks echo sunrise and sunset over the bay, softening transit"
https://openhero.art/api/preview?category=enterprice&slug=cristo-redentor,home,2,decomposed,relative mx-auto max-w-[1600px] px-6 py-24 md:px-10,614,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,"Ocean Cyan Cinematic accents shape the coastline feeling of the interface, as if the syste"
https://openhero.art/api/preview?category=enterprice&slug=cristo-redentor,home,2,decomposed,relative mx-auto max-w-[1600px] px-6 py-24 md:px-10,614,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,"Stone grey A restrained palette that honors the statue, the stone, and the museum-grade ca"
https://openhero.art/api/preview?category=enterprice&slug=cristo-redentor,home,3,decomposed,relative mx-auto max-w-[1600px] px-6 py-24 md:px-10,447,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,"Visit Plan an immersive ascent. Private viewing routes, heritage storytelling, and panoram"
https://openhero.art/api/preview?category=enterprice&slug=cristo-redentor,home,3,decomposed,relative mx-auto max-w-[1600px] px-6 py-24 md:px-10,447,no,no,,row-cell,buttons,button,no,no,button group → button(s),,,Request private route
