kind,target,evidence,suggested_fx,confidence
trace,trace#0,pinned for ~1886px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
trace,trace#8,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#10,document position drifts -99px over 1929px of scroll,gsap_motion: {effect:'parallax'} (ratio ≈ -0.05),medium
trace,trace#12,document position drifts -80px over 1929px of scroll,gsap_motion: {effect:'parallax'} (ratio ≈ -0.04),medium
trace,trace#18,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
css-animation,.kinetic-anchor,infinite keyframes 'float' (transform),physics float/pulse or backgrounds module,low
css-animation,.scroll-assembly,keyframes 'atomic-assembly' auto,entrance animation (Animate.css picker),low
css-animation,.animate-pulse,infinite keyframes 'pulse' (opacity),physics float/pulse or backgrounds module,low
hover,.photon-glow,"transform, box-shadow change on hover",interaction: {effect:'lift'},medium
hover,.hover\:bg-white\/10,background-color change on hover,interaction: {effect:'color_shift'},medium
hover,.hover\:text-\[oklch\(65\%_0\.2_260\)\],color change on hover,interaction: {effect:'color_shift'},medium
hover,hover:text-[oklch(65%_0.2_260)] transition-colors transition,color change on hover,interaction: {effect:'color_shift'},medium
hover,lens-refraction px-10 py-5 text-lg font-medium hover:bg-whit,background change on hover,interaction: {effect:'color_shift'},medium
