site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,0,decomposed,min-h-screen relative flex items-center justify-center px-6 pt-24,900,no,no,,video,video,media_video,no,no,video → media_video (self-hosted),,,
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,0,decomposed,min-h-screen relative flex items-center justify-center px-6 pt-24,900,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h1,"font-serif text-6xl md:text-8xl lg:text-[7rem] leading-[1.1] mb-8 light-bleed reveal delay-[100ms] filter [filter:drop-shadow(0_10px_30px_rgba(0,0,0,1))_drop-shadow(0_0_10px_rgba(0,0,0,0.8))] active",Resilient Flora Engineering.
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,0,decomposed,min-h-screen relative flex items-center justify-center px-6 pt-24,900,no,no,,button,button,button,no,no,button → button,button,bioluminescent-btn px-10 py-5 text-white tracking-widest text-sm uppercase reveal delay-[300ms] flex items-center gap-3 active,Enter the Laboratory
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,1,decomposed,py-32 px-6 relative z-10,1232,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h2,font-serif text-4xl md:text-5xl mb-6 light-bleed,Bioarchitecture Protocols
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,1,decomposed,py-32 px-6 relative z-10,1232,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Phytoholography Mapping cellular structures using advanced light-field captures. We record
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,1,decomposed,py-32 px-6 relative z-10,1232,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Ethylene Management Controlling the algorithmic decay of interfaces. Through dynamic state
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,1,decomposed,py-32 px-6 relative z-10,1232,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Spectral Optimization Calibrating the exact wavelength of pixel emission to mimic the gold
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,1,decomposed,py-32 px-6 relative z-10,1232,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Genetic Vibrance Embedding adaptive color spaces that shift based on user circadian rhythm
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,2,decomposed,py-40 px-6 relative z-10 flex justify-center,882,no,no,,html,html,code_block,yes,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,2,decomposed,py-40 px-6 relative z-10 flex justify-center,882,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h2,font-serif text-4xl md:text-6xl mb-8 light-bleed,Cultivate with Us
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,2,decomposed,py-40 px-6 relative z-10 flex justify-center,882,no,no,,button,button,button,no,no,button → button,button,bioluminescent-btn px-12 py-6 text-white tracking-widest text-sm uppercase,Request Access
