site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,0,verbatim,relative min-h-screen overflow-hidden,900,no,no,,verbatim,section-html,code_block,yes,no,whole section kept verbatim (hero / media-bearing / undecomposable) → code_block,,relative min-h-screen overflow-hidden,"The Art of Living Sculptural furniture systems inspired by tactile materiality, mid-centur"
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,1,decomposed,grain-oak relative overflow-hidden px-6 py-28,1310,no,yes,"gradient=linear-gradient(rgba(255, 255, 255, 0.02), rgba(255, 255, 255, 0.02)), repeating-linear-gradient(90deg, rgba(102, 75, 48, 0.05) 0px, rgba(102, 75, 48, 0.05) 1px, rgba(0, 0, 0, 0) 1px, rgba(0, 0, 0, 0) 7px)",heading,heading,special_heading,no,no,heading → special_heading,h2,"mt-5 text-[clamp(3rem,6vw,5.8rem)] leading-[0.9] text-[#241f19]",Sculptural forms curated like a private gallery.
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,1,decomposed,grain-oak relative overflow-hidden px-6 py-28,1310,no,yes,"gradient=linear-gradient(rgba(255, 255, 255, 0.02), rgba(255, 255, 255, 0.02)), repeating-linear-gradient(90deg, rgba(102, 75, 48, 0.05) 0px, rgba(102, 75, 48, 0.05) 1px, rgba(0, 0, 0, 0) 1px, rgba(0, 0, 0, 0) 7px)",video,video,media_video,no,no,video → media_video (self-hosted),,,
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,1,decomposed,grain-oak relative overflow-hidden px-6 py-28,1310,no,yes,"gradient=linear-gradient(rgba(255, 255, 255, 0.02), rgba(255, 255, 255, 0.02)), repeating-linear-gradient(90deg, rgba(102, 75, 48, 0.05) 0px, rgba(102, 75, 48, 0.05) 1px, rgba(0, 0, 0, 0) 1px, rgba(0, 0, 0, 0) 7px)",heading,heading,special_heading,no,no,heading → special_heading,h3,mt-4 text-4xl text-[#231f19],Crescent Sofa
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,1,decomposed,grain-oak relative overflow-hidden px-6 py-28,1310,no,yes,"gradient=linear-gradient(rgba(255, 255, 255, 0.02), rgba(255, 255, 255, 0.02)), repeating-linear-gradient(90deg, rgba(102, 75, 48, 0.05) 0px, rgba(102, 75, 48, 0.05) 1px, rgba(0, 0, 0, 0) 1px, rgba(0, 0, 0, 0) 7px)",text,text,text_block,no,no,text → text_block,div,text-[10px] uppercase tracking-[0.28em] text-[#5e4c39],Mid-century modernism
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,1,decomposed,grain-oak relative overflow-hidden px-6 py-28,1310,no,yes,"gradient=linear-gradient(rgba(255, 255, 255, 0.02), rgba(255, 255, 255, 0.02)), repeating-linear-gradient(90deg, rgba(102, 75, 48, 0.05) 0px, rgba(102, 75, 48, 0.05) 1px, rgba(0, 0, 0, 0) 1px, rgba(0, 0, 0, 0) 7px)",text,text,text_block,no,no,text → text_block,div,mt-4 text-5xl font-semibold text-[#2a241c],1972
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,1,decomposed,grain-oak relative overflow-hidden px-6 py-28,1310,no,yes,"gradient=linear-gradient(rgba(255, 255, 255, 0.02), rgba(255, 255, 255, 0.02)), repeating-linear-gradient(90deg, rgba(102, 75, 48, 0.05) 0px, rgba(102, 75, 48, 0.05) 1px, rgba(0, 0, 0, 0) 1px, rgba(0, 0, 0, 0) 7px)",video,video,media_video,no,no,video → media_video (self-hosted),,,
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,1,decomposed,grain-oak relative overflow-hidden px-6 py-28,1310,no,yes,"gradient=linear-gradient(rgba(255, 255, 255, 0.02), rgba(255, 255, 255, 0.02)), repeating-linear-gradient(90deg, rgba(102, 75, 48, 0.05) 0px, rgba(102, 75, 48, 0.05) 1px, rgba(0, 0, 0, 0) 1px, rgba(0, 0, 0, 0) 7px)",heading,heading,special_heading,no,no,heading → special_heading,h3,mt-4 text-4xl text-[#231f19],Walnut Arc
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,2,decomposed,woven-layer relative overflow-hidden py-28,1153,no,yes,"gradient=linear-gradient(rgba(255, 255, 255, 0.06), rgba(255, 255, 255, 0.06)), repeating-linear-gradient(0deg, rgba(113, 88, 58, 0.04) 0px, rgba(113, 88, 58, 0.04) 1px, rgba(0, 0, 0, 0) 1px, rgba(0, 0, 0, 0) 5px), repeating-linear-gradient(90deg, rgba(113, 88, 58, 0.04) 0px, rgba(113, 88, 58, 0.04) 1px, rgba(0, 0, 0, 0) 1px, rgba(0, 0, 0, 0) 5px)",heading,heading,special_heading,no,no,heading → special_heading,h2,"mt-5 max-w-5xl text-[clamp(3rem,6vw,6rem)] leading-[0.92] text-[#241f19]","Material transitions shaped through touch, grain, and shadow."
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,2,decomposed,woven-layer relative overflow-hidden py-28,1153,no,yes,"gradient=linear-gradient(rgba(255, 255, 255, 0.06), rgba(255, 255, 255, 0.06)), repeating-linear-gradient(0deg, rgba(113, 88, 58, 0.04) 0px, rgba(113, 88, 58, 0.04) 1px, rgba(0, 0, 0, 0) 1px, rgba(0, 0, 0, 0) 5px), repeating-linear-gradient(90deg, rgba(113, 88, 58, 0.04) 0px, rgba(113, 88, 58, 0.04) 1px, rgba(0, 0, 0, 0) 1px, rgba(0, 0, 0, 0) 5px)",row-cell,html,code_block,yes,no,unrecognized cell → code_block,,,Wool composition Bouclé Ivory Soft thermal layering
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,2,decomposed,woven-layer relative overflow-hidden py-28,1153,no,yes,"gradient=linear-gradient(rgba(255, 255, 255, 0.06), rgba(255, 255, 255, 0.06)), repeating-linear-gradient(0deg, rgba(113, 88, 58, 0.04) 0px, rgba(113, 88, 58, 0.04) 1px, rgba(0, 0, 0, 0) 1px, rgba(0, 0, 0, 0) 5px), repeating-linear-gradient(90deg, rgba(113, 88, 58, 0.04) 0px, rgba(113, 88, 58, 0.04) 1px, rgba(0, 0, 0, 0) 1px, rgba(0, 0, 0, 0) 5px)",row-cell,html,code_block,yes,no,unrecognized cell → code_block,,,Oak detailing Warm Grain Hand-finished wood textures engineered for architectural calm and
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,2,decomposed,woven-layer relative overflow-hidden py-28,1153,no,yes,"gradient=linear-gradient(rgba(255, 255, 255, 0.06), rgba(255, 255, 255, 0.06)), repeating-linear-gradient(0deg, rgba(113, 88, 58, 0.04) 0px, rgba(113, 88, 58, 0.04) 1px, rgba(0, 0, 0, 0) 1px, rgba(0, 0, 0, 0) 5px), repeating-linear-gradient(90deg, rgba(113, 88, 58, 0.04) 0px, rgba(113, 88, 58, 0.04) 1px, rgba(0, 0, 0, 0) 1px, rgba(0, 0, 0, 0) 5px)",row-cell,html,code_block,yes,no,unrecognized cell → code_block,,,Leather balance Smoked Camel
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,3,decomposed,relative overflow-hidden bg-[#241c18] px-6 py-28 text-white,682,no,no,,html,html,code_block,yes,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,3,decomposed,relative overflow-hidden bg-[#241c18] px-6 py-28 text-white,682,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,3,decomposed,relative overflow-hidden bg-[#241c18] px-6 py-28 text-white,682,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,The Residence Footer Designed to feel less like a website and more like a private residenc
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,3,decomposed,relative overflow-hidden bg-[#241c18] px-6 py-28 text-white,682,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Spatial Ergonomics 01 Tactile Materiality 02 Curvilinear Systems 03 Artisanal Joinery 04
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,3,decomposed,relative overflow-hidden bg-[#241c18] px-6 py-28 text-white,682,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Vesta Atelier Bespoke Living Spaces
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,3,decomposed,relative overflow-hidden bg-[#241c18] px-6 py-28 text-white,682,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Request Residence Catalog
