site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,0,verbatim,relative min-h-screen flex items-center justify-start overflow-hidden px-6 lg:px-32,900,no,no,,verbatim,section-html,code_block,yes,no,whole section kept verbatim (hero / media-bearing / undecomposable) → code_block,,relative min-h-screen flex items-center justify-start overflow-hidden px-6 lg:px-32,"Altitude 400,000M Sit above The tumult A solitary summit overlooking infinite atmospheres."
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,1,decomposed,py-36 px-6 lg:px-16 bg-slate-950 relative border-t border-slate-900,899,no,yes,"borderTop=1px solid rgb(15, 23, 42)",row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,"01 / Contemplation The stillness of hyper-presence. Detached from temporal friction, the m"
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,1,decomposed,py-36 px-6 lg:px-16 bg-slate-950 relative border-t border-slate-900,899,no,yes,"borderTop=1px solid rgb(15, 23, 42)",row-cell,card,icon_box,no,no,card → icon_box,,,Unobstructed Sightlines Observe without the scattering effects of the dense lower atmosphe
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,2,decomposed,py-32 px-6 lg:px-16 bg-[#040817] relative overflow-hidden,599,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,2,decomposed,py-32 px-6 lg:px-16 bg-[#040817] relative overflow-hidden,599,no,no,,steps,steps,steps,no,no,steps → code_block (unmapped),,,
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,3,decomposed,py-36 px-6 lg:px-16 bg-slate-950,738,no,no,,row-cell,image-composite,media_image,no,no,"image + content overlay → native media_image + icon_box (decomposed, editable)",,,Mapping Interface :: Active
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,3,decomposed,py-36 px-6 lg:px-16 bg-slate-950,738,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,"03 / Structural Cohesion A biosphere bound by light and vacuum. From high coordinates, nat"
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,4,decomposed,py-24 px-6 lg:px-16 bg-slate-950 border-t border-slate-900,713,no,yes,"borderTop=1px solid rgb(15, 23, 42)",html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,4,decomposed,py-24 px-6 lg:px-16 bg-slate-950 border-t border-slate-900,713,no,yes,"borderTop=1px solid rgb(15, 23, 42)",html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,4,decomposed,py-24 px-6 lg:px-16 bg-slate-950 border-t border-slate-900,713,no,yes,"borderTop=1px solid rgb(15, 23, 42)",heading,heading,special_heading,no,no,heading → special_heading,h2,font-serif text-4xl md:text-6xl text-white font-normal tracking-tight mb-6 max-w-2xl leading-tight,Secure your isolation vector.
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,4,decomposed,py-24 px-6 lg:px-16 bg-slate-950 border-t border-slate-900,713,no,yes,"borderTop=1px solid rgb(15, 23, 42)",row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Initialize Feed
