kind,target,evidence,suggested_fx,confidence
trace,trace#0,pinned for ~5366px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
css-animation,.animate-ping,"infinite keyframes 'ping' (transform,opacity)",physics float/pulse or backgrounds module,low
hover,.bento-item,"border-top-color, border-right-color, border-bottom-color, border-left-color change on hover",interaction: {effect:'lift'},medium
hover,::-webkit-scrollbar-thumb,background-color change on hover,interaction: {effect:'color_shift'},medium
hover,.hover\:border-white\/20,"border-top-color, border-right-color, border-bottom-color, border-left-color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:border-white\/30,"border-top-color, border-right-color, border-bottom-color, border-left-color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:border-zinc-800,"--tw-border-opacity, border-top-color, border-right-color, border-bottom-color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:bg-cyan-400,"--tw-bg-opacity, background-color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:text-white,"--tw-text-opacity, color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:text-cyan-400,"--tw-text-opacity, color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:brightness-110,"--tw-brightness, filter change on hover",interaction: {effect:'grayscale'|'brightness'},medium
hover,.group .group-hover\:text-cyan-400,"--tw-text-opacity, color change on hover",interaction: {effect:'color_shift'},medium
hover,font-display text-[11px] uppercase tracking-superwide bg-whi,background change on hover,interaction: {effect:'color_shift'},medium
hover,bg-gradient-to-r from-cyan-500 to-blue-600 text-black font-d,filter change on hover,interaction: {effect:'grayscale'|'brightness'},medium
hover,border border-white/10 hover:border-white/30 text-white font,borderColor change on hover,interaction: {effect:'color_shift'},medium
hover,px-4 py-2 border border-white/5 hover:border-white/20 transi,borderColor change on hover,interaction: {effect:'color_shift'},medium
