site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,0,verbatim,hero,900,no,no,,verbatim,section-html,code_block,yes,no,whole section kept verbatim (hero / media-bearing / undecomposable) → code_block,,hero,Energy efficiency 92% Photon-capturing facades calibrated for passive gain. Structural int
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,1,decomposed,section,1182,no,no,,row-cell,text,text_block,no,no,text cell → text_block,,,"The Blueprint Grid Dense, measurable, and structurally complete."
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,1,decomposed,section,1182,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,"Floor plans, CAD snippets, and material samples are arranged in a compact mosaic so every "
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,1,decomposed,section,1182,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Floor plan / level 01 Plan geometry for solar glass envelopes. 140 m² A1
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,1,decomposed,section,1182,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,CAD section / facade Translucent timber ribs. load path B2
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,1,decomposed,section,1182,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Material sample Oiled oak + glass. ratio 60/40
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,1,decomposed,section,1182,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Energy study Photon-capturing facades tuned to sunset gain. Thermal behavior modeled aroun
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,1,decomposed,section,1182,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,"Monolith detail / section cut High-thermal mass concrete anchors the frame. Thick, quiet, "
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,1,decomposed,section,1182,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Certifications Net-positive targets. LEED Gold
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,1,decomposed,section,1182,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,"Structural luminosity Light, made load-bearing. status Stable"
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,2,decomposed,material-anatomy,998,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.08) | borderBottom=1px solid rgba(255, 255, 255, 0.08) | gradient=radial-gradient(circle at 12% 10%, rgba(255, 190, 110, 0.12), rgba(0, 0, 0, 0) 16%), linear-gradient(rgba(20, 21, 24, 0.96), rgb(10, 11, 13))",row-cell,text,text_block,no,no,text cell → text_block,,,Material Anatomy A scroll-through cross-section of the wall itself.
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,2,decomposed,material-anatomy,998,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.08) | borderBottom=1px solid rgba(255, 255, 255, 0.08) | gradient=radial-gradient(circle at 12% 10%, rgba(255, 190, 110, 0.12), rgba(0, 0, 0, 0) 16%), linear-gradient(rgba(20, 21, 24, 0.96), rgb(10, 11, 13))",row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,"Layer-by-layer construction reveals insulation, timber, concrete, and glass as a continuou"
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,2,decomposed,material-anatomy,998,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.08) | borderBottom=1px solid rgba(255, 255, 255, 0.08) | gradient=radial-gradient(circle at 12% 10%, rgba(255, 190, 110, 0.12), rgba(0, 0, 0, 0) 16%), linear-gradient(rgba(20, 21, 24, 0.96), rgb(10, 11, 13))",row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,1. Outer solar glass low-e 2. Ventilated cavity air gap 3. Structural timber glulam 4. The
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,2,decomposed,material-anatomy,998,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.08) | borderBottom=1px solid rgba(255, 255, 255, 0.08) | gradient=radial-gradient(circle at 12% 10%, rgba(255, 190, 110, 0.12), rgba(0, 0, 0, 0) 16%), linear-gradient(rgba(20, 21, 24, 0.96), rgb(10, 11, 13))",row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Layer 01 Photon-capturing facades Glazing controls daylight with a calibrated sheen that s
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,3,decomposed,portfolio,1163,no,yes,"gradient=radial-gradient(circle at 0% 0%, rgba(255, 198, 116, 0.1), rgba(0, 0, 0, 0) 16%), linear-gradient(rgb(31, 29, 28), rgb(20, 19, 18))",row-cell,text,text_block,no,no,text cell → text_block,,,Portfolio Monoliths Massive projects that expand in place.
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,3,decomposed,portfolio,1163,no,yes,"gradient=radial-gradient(circle at 0% 0%, rgba(255, 198, 116, 0.1), rgba(0, 0, 0, 0) 16%), linear-gradient(rgb(31, 29, 28), rgb(20, 19, 18))",row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Each monolith is a full-width statement piece with an inline expansion driven by View Tran
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,3,decomposed,portfolio,1163,no,yes,"gradient=radial-gradient(circle at 0% 0%, rgba(255, 198, 116, 0.1), rgba(0, 0, 0, 0) 16%), linear-gradient(rgb(31, 29, 28), rgb(20, 19, 18))",html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,3,decomposed,portfolio,1163,no,yes,"gradient=radial-gradient(circle at 0% 0%, rgba(255, 198, 116, 0.1), rgba(0, 0, 0, 0) 16%), linear-gradient(rgb(31, 29, 28), rgb(20, 19, 18))",html,html,simple,no,no,html → code_block (unmapped),,,
