kind,target,evidence,suggested_fx,confidence
trace,trace#9,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#11,document position drifts -147px over 2166px of scroll,gsap_motion: {effect:'parallax'} (ratio ≈ -0.07),medium
trace,trace#17,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#19,document position drifts -150px over 2166px of scroll,gsap_motion: {effect:'parallax'} (ratio ≈ -0.07),medium
css-animation,.kinetic-anchor,infinite keyframes 'tourbillon-float' (transform),physics float/pulse or backgrounds module,low
css-animation,.scroll-assembly,keyframes 'atomic-assembly' auto,entrance animation (Animate.css picker),low
css-animation,.animate-pulse,infinite keyframes 'pulse' (opacity),physics float/pulse or backgrounds module,low
hover,.magnetic-liquid,"color, transform, box-shadow change on hover",interaction: {effect:'lift'},medium
hover,.hover\:bg-white\/5,background-color change on hover,interaction: {effect:'color_shift'},medium
hover,.hover\:text-\[oklch\(65\%_0\.25_45\)\],color change on hover,interaction: {effect:'color_shift'},medium
hover,magnetic-liquid px-12 py-6 text-sm tracking-widest uppercase,"transform, boxShadow, color change on hover",interaction: {effect:'color_shift'},medium
hover,lens-refraction px-12 py-6 text-sm tracking-widest uppercase,background change on hover,interaction: {effect:'color_shift'},medium
