site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,0,decomposed,relative min-h-screen flex flex-col justify-between overflow-hidden pt-20,900,no,no,,video,video,media_video,no,no,video → media_video (self-hosted),,,
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,0,decomposed,relative min-h-screen flex flex-col justify-between overflow-hidden pt-20,900,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,0,decomposed,relative min-h-screen flex flex-col justify-between overflow-hidden pt-20,900,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,0,decomposed,relative min-h-screen flex flex-col justify-between overflow-hidden pt-20,900,no,no,,testimonials,testimonials,testimonials,no,no,testimonials → testimonials,,,
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,0,decomposed,relative min-h-screen flex flex-col justify-between overflow-hidden pt-20,900,no,no,,feature_list,feature_list,feature_list,no,no,feature_list → code_block (unmapped),,,
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,1,decomposed,py-32 px-6 relative bg-zinc-950,720,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,1,decomposed,py-32 px-6 relative bg-zinc-950,720,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h2,text-3xl md:text-5xl font-bold mb-6,Unify your entire workflow
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,1,decomposed,py-32 px-6 relative bg-zinc-950,720,no,no,,row-cell,card,icon_box,no,no,card → icon_box,,,Intelligent Automation Automate repetitive tasks across your departments with AI-driven wo
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,1,decomposed,py-32 px-6 relative bg-zinc-950,720,no,no,,row-cell,card,icon_box,no,no,card → icon_box,,,"Bank-Grade Security Your data is protected by AES-256 encryption, SOC 2 Type II compliance"
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,1,decomposed,py-32 px-6 relative bg-zinc-950,720,no,no,,row-cell,card,icon_box,no,no,card → icon_box,,,Real-time Analytics Turn raw data into actionable insights instantly with customizable das
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,2,decomposed,py-24 px-6 border-t border-zinc-900 bg-black,643,no,yes,"borderTop=1px solid rgb(24, 24, 27)",row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Ready to transform your operations? Join thousands of enterprise teams already using Orexi
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,2,decomposed,py-24 px-6 border-t border-zinc-900 bg-black,643,no,yes,"borderTop=1px solid rgb(24, 24, 27)",row-cell,buttons,button,no,no,button group → button(s),,,Get Started Now Talk to Sales
