kind,target,evidence,suggested_fx,confidence
trace,trace#0,pinned for ~3025px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
trace,trace#3,document position drifts -105px over 3025px of scroll,gsap_motion: {effect:'parallax'} (ratio ≈ -0.03),medium
trace,trace#36,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#42,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
css-animation,.bionic-video,keyframes 'bioDive' auto,entrance animation (Animate.css picker),low
css-animation,.spectral-text,infinite keyframes 'spectralPulse' (filter),physics float/pulse or backgrounds module,low
css-animation,.animate-pulse-slow,"infinite keyframes 'pulse-slow' (transform,opacity)",physics float/pulse or backgrounds module,low
css-animation,.animate-marquee,infinite keyframes 'marquee' translating X,marquee fx: {mode:'left'},high
css-animation,.animate-pulse,infinite keyframes 'pulse' (opacity),physics float/pulse or backgrounds module,low
hover,.magnetic-btn,"border-top-color, border-right-color, border-bottom-color, border-left-color change on hover",interaction: {effect:'color_shift'},medium
hover,.spotlight-card,"transform, border-top-color, border-right-color, border-bottom-color change on hover",interaction: {effect:'lift'},medium
hover,.hover\:bg-white\/10,background-color change on hover,interaction: {effect:'color_shift'},medium
hover,.hover\:text-white,"--tw-text-opacity, color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:text-amber,color change on hover,interaction: {effect:'color_shift'},medium
hover,.hover\:text-magenta,color change on hover,interaction: {effect:'color_shift'},medium
hover,bloom-nav-item hover:text-white transition-colors interactiv,color change on hover,interaction: {effect:'color_shift'},medium
hover,magnetic-btn interactive px-6 py-3 rounded-full text-[10px] ,"transform, borderColor change on hover",interaction: {effect:'color_shift'},medium
hover,spotlight-card p-10 reveal delay-100 interactive h-[400px] f,"boxShadow, borderColor change on hover",interaction: {effect:'color_shift'},medium
hover,spotlight-card p-10 reveal delay-200 interactive h-[400px] f,"boxShadow, borderColor change on hover",interaction: {effect:'color_shift'},medium
hover,spotlight-card p-8 reveal delay-200 interactive flex flex-co,"boxShadow, borderColor change on hover",interaction: {effect:'color_shift'},medium
hover,w-16 h-16 rounded-full border border-white/20 flex items-cen,background change on hover,interaction: {effect:'color_shift'},medium
