site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,0,decomposed,relative z-10 w-full max-w-6xl mx-auto px-6 flex flex-col items-center justify-center min-h-[70vh],630,no,no,,video,video,media_video,no,no,video → media_video (self-hosted),,,
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,0,decomposed,relative z-10 w-full max-w-6xl mx-auto px-6 flex flex-col items-center justify-center min-h-[70vh],630,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h1,"text-[clamp(3.5rem,8vw,9rem)] font-bold tracking-tighter leading-[0.9] text-center flex flex-col items-center drop-shadow-[0_10px_30px_rgba(0,0,0,1)] drop-shadow-[0_20px_70px_rgba(0,0,0,1)]",Spatial Computing
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,1,decomposed,relative z-10 w-full max-w-6xl mx-auto px-6 mt-32 grid grid-cols-1 lg:grid-cols-12 gap-8,400,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h3,text-2xl font-semibold tracking-tight text-white,Photonic Processing
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,1,decomposed,relative z-10 w-full max-w-6xl mx-auto px-6 mt-32 grid grid-cols-1 lg:grid-cols-12 gap-8,400,no,no,,text,text,text_block,no,no,text → text_block,div,flex items-end justify-between,Photon Latency 12ms
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,1,decomposed,relative z-10 w-full max-w-6xl mx-auto px-6 mt-32 grid grid-cols-1 lg:grid-cols-12 gap-8,400,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,1,decomposed,relative z-10 w-full max-w-6xl mx-auto px-6 mt-32 grid grid-cols-1 lg:grid-cols-12 gap-8,400,no,no,,video,video,media_video,no,no,video → media_video (self-hosted),,,
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,1,decomposed,relative z-10 w-full max-w-6xl mx-auto px-6 mt-32 grid grid-cols-1 lg:grid-cols-12 gap-8,400,no,no,,text,text,text_block,no,no,text → text_block,div,text-xs font-mono text-white/50 mb-1 uppercase tracking-widest,Micro-OLED Display
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,1,decomposed,relative z-10 w-full max-w-6xl mx-auto px-6 mt-32 grid grid-cols-1 lg:grid-cols-12 gap-8,400,no,no,,text,text,text_block,no,no,text → text_block,div,text-2xl font-medium text-white tracking-tight,23 Million Pixels
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,2,decomposed,relative z-10 w-full max-w-6xl mx-auto px-6 mt-16,246,no,no,,row-cell,card,icon_box,no,no,card → icon_box,,,Eye Tracking High-performance LEDs project invisible light patterns for ultra-precise opti
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,2,decomposed,relative z-10 w-full max-w-6xl mx-auto px-6 mt-16,246,no,no,,row-cell,card,icon_box,no,no,card → icon_box,,,Spatial Audio Acoustic ray tracing calculates physical properties of your environment to m
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,2,decomposed,relative z-10 w-full max-w-6xl mx-auto px-6 mt-16,246,no,no,,row-cell,card,icon_box,no,no,card → icon_box,,,Infinite Canvas Free your workflow from the physical boundaries of a traditional display w
