kind,target,evidence,suggested_fx,confidence
css-animation,.animate-\[spin_10s_linear_infinite\],infinite keyframes 'spin' (transform),physics float/pulse or backgrounds module,low
css-animation,.animate-bounce,"infinite keyframes 'bounce' (transform,animation-timing-function)",physics float/pulse or backgrounds module,low
css-animation,.animate-pulse,infinite keyframes 'pulse' (opacity),physics float/pulse or backgrounds module,low
hover,.hover\:border-neon-blue,"--tw-border-opacity, border-top-color, border-right-color, border-bottom-color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:border-neon-blue\/50,"border-top-color, border-right-color, border-bottom-color, border-left-color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:bg-neon-blue,"--tw-bg-opacity, background-color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:bg-white,"--tw-bg-opacity, background-color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:text-neon-blue,"--tw-text-opacity, color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:text-space-900,"--tw-text-opacity, color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:text-white,"--tw-text-opacity, color change on hover",interaction: {effect:'color_shift'},medium
hover,.group .group-hover\:grayscale-0,"--tw-grayscale, filter change on hover",interaction: {effect:'grayscale'|'brightness'},medium
hover,px-5 py-2.5 bg-white text-space-900 font-bold hover:bg-neon-,background change on hover,interaction: {effect:'color_shift'},medium
hover,w-full sm:w-auto px-8 py-4 bg-neon-blue text-space-900 font-,background change on hover,interaction: {effect:'color_shift'},medium
hover,w-full sm:w-auto px-8 py-4 border border-slate-700 text-whit,"color, borderColor change on hover",interaction: {effect:'color_shift'},medium
hover,font-mono text-sm text-slate-400 hover:text-neon-blue transi,"color, borderColor change on hover",interaction: {effect:'color_shift'},medium
hover,bg-neon-blue text-space-900 font-bold uppercase tracking-wid,background change on hover,interaction: {effect:'color_shift'},medium
hover,w-10 h-10 border border-slate-800 flex items-center justify-,"color, borderColor change on hover",interaction: {effect:'color_shift'},medium
