kind,target,evidence,suggested_fx,confidence
trace,trace#0,pinned for ~3150px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
trace,trace#3,pinned for ~3150px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
trace,trace#6,document position drifts -118px over 3150px of scroll,gsap_motion: {effect:'parallax'} (ratio ≈ -0.04),medium
trace,trace#14,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#20,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#25,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#26,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#29,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#32,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#37,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
css-animation,.bloom,keyframes 'bloom' 0.9s,entrance animation (Animate.css picker),low
css-animation,.pulse-text,infinite keyframes 'pulsar' (transform),physics float/pulse or backgrounds module,low
css-animation,.hero-scale,keyframes 'heroScale' auto,entrance animation (Animate.css picker),low
hover,.aero,"transform, box-shadow change on hover",interaction: {effect:'lift'},medium
hover,.hover\:bg-white\/\[0\.05\],background-color change on hover,interaction: {effect:'color_shift'},medium
hover,rounded-full border border-white/10 bg-white/[0.03] px-8 py-,"transform, background change on hover",interaction: {effect:'color_shift'},medium
