site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=enterprice&slug=apple-card-titanium-and-intelligence,home,0,verbatim,hero-section,900,no,no,,verbatim,section-html,code_block,yes,no,whole section kept verbatim (hero / media-bearing / undecomposable) → code_block,,hero-section,Titanium · Intelligence · 2025 The Card for the Future of Money Precision-milled titanium 
https://openhero.art/api/preview?category=enterprice&slug=apple-card-titanium-and-intelligence,home,1,decomposed,anodized-section,1273,no,no,,text,text,text_block,no,no,text → text_block,div,section-label,Core Architecture
https://openhero.art/api/preview?category=enterprice&slug=apple-card-titanium-and-intelligence,home,1,decomposed,anodized-section,1273,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h2,section-title,AnodizedDark TitaniumInfrastructure
https://openhero.art/api/preview?category=enterprice&slug=apple-card-titanium-and-intelligence,home,1,decomposed,anodized-section,1273,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,🔐 Secure Element AES-256 Hardware Encryption Your card number is never stored on device o
https://openhero.art/api/preview?category=enterprice&slug=apple-card-titanium-and-intelligence,home,1,decomposed,anodized-section,1273,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,⚡ Biometric Auth-Flow Face ID · Neural Engine Every transaction is authorized through the 
https://openhero.art/api/preview?category=enterprice&slug=apple-card-titanium-and-intelligence,home,1,decomposed,anodized-section,1273,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,"Real-Time Ledger Telemetry $18,240 Available Credit $2,840 Balance · Cycle Live Sync Auth "
https://openhero.art/api/preview?category=enterprice&slug=apple-card-titanium-and-intelligence,home,1,decomposed,anodized-section,1273,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Neural Fraud Detection 12M Signals per second analyzed On-device ML model trained on behav
https://openhero.art/api/preview?category=enterprice&slug=apple-card-titanium-and-intelligence,home,1,decomposed,anodized-section,1273,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Titanium Alloy Grade 5 Ti-6Al-4V · Aerospace The same alloy used in surgical instruments a
https://openhero.art/api/preview?category=enterprice&slug=apple-card-titanium-and-intelligence,home,2,decomposed,assembly-section,1021,no,no,,text,text,text_block,no,no,text → text_block,div,section-label,Auth-Flow Protocol
https://openhero.art/api/preview?category=enterprice&slug=apple-card-titanium-and-intelligence,home,2,decomposed,assembly-section,1021,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h2,section-title,BiometricAssembly Sequence
