site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,0,decomposed,hero,900,no,no,,video,video,media_video,no,no,video → media_video (self-hosted),,,
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,0,decomposed,hero,900,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h1,title serif,Vesta Atelier
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,0,decomposed,hero,900,no,no,,button,button,button,no,no,button → button,button,textural-touch btn-a,Enter the showroom
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,0,decomposed,hero,900,no,no,,button,button,button,no,no,button → button,button,btn-b,View curated pieces
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,1,decomposed,panel-space,1000,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,"The Sofa Split Color, proportion, and comfort in perfect balance. The living space is comp"
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,1,decomposed,panel-space,1000,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,"Textural layering 92 sqm Chromatic anchoring A measured palette of ochre, charcoal, and li"
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,2,decomposed,accessory,1449,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,The Accessory Grid Shelves that assemble themselves as you scroll.
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,2,decomposed,accessory,1449,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,"Coffee-table geometry becomes a modular display system, with shelves, objects, and finishe"
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,2,decomposed,accessory,1449,no,no,,steps,steps,steps,no,no,steps → code_block (unmapped),,,
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,3,decomposed,botanical,919,no,no,,text,text,text_block,no,no,text → text_block,div,label,Botanical Contrast
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,3,decomposed,botanical,919,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h2,serif,A controlled burst of leaf green and petal pink.
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,3,decomposed,botanical,919,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Leaf Green Grounding the room with living texture. A vertical plant composition softens th
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,3,decomposed,botanical,919,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Petal Pink A delicate counterpoint to charcoal and oak. Floral color introduces a quiet te
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,4,decomposed,foot,687,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,"Rooted in materiality The room ends in warmth, weight, and quiet precision. Vesta Atelier "
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,4,decomposed,foot,687,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Textural layering Furniture curation Spatial ergonomics Light oak
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,4,decomposed,foot,687,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,© 2026 Vesta Atelier
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,4,decomposed,foot,687,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Charcoal slate · ochre orange · oak
