kind,target,evidence,suggested_fx,confidence
trace,trace#0,pinned for ~3619px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
trace,trace#1,pinned for ~3452px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
css-animation,.animate-pulse,infinite keyframes 'pulse' (opacity),physics float/pulse or backgrounds module,low
hover,.custom-scrollbar::-webkit-scrollbar-thumb,background-color change on hover,interaction: {effect:'color_shift'},medium
hover,.hover\:border-sky-400,"--tw-border-opacity, border-top-color, border-right-color, border-bottom-color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:border-sky-400\/30,"border-top-color, border-right-color, border-bottom-color, border-left-color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:bg-white,"--tw-bg-opacity, background-color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:bg-white\/10,background-color change on hover,interaction: {effect:'color_shift'},medium
hover,.hover\:bg-white\/\[0\.02\],background-color change on hover,interaction: {effect:'color_shift'},medium
hover,.hover\:bg-sky-400,"--tw-bg-opacity, background-color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:text-apex-base,"--tw-text-opacity, color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:text-white,"--tw-text-opacity, color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:text-sky-400,"--tw-text-opacity, color change on hover",interaction: {effect:'color_shift'},medium
hover,.group .group-hover\:border-sky-400,"--tw-border-opacity, border-top-color, border-right-color, border-bottom-color change on hover",interaction: {effect:'color_shift'},medium
hover,.group .group-hover\:bg-sky-400\/10,background-color change on hover,interaction: {effect:'color_shift'},medium
hover,.group .group-hover\:text-sky-400,"--tw-text-opacity, color change on hover",interaction: {effect:'color_shift'},medium
hover,font-heading text-xs uppercase tracking-widest font-bold bor,"background, color change on hover",interaction: {effect:'color_shift'},medium
hover,px-8 py-4 bg-sky-400 text-apex-base font-heading font-bold u,background change on hover,interaction: {effect:'color_shift'},medium
hover,px-8 py-4 bg-white/5 border border-white/10 font-heading fon,background change on hover,interaction: {effect:'color_shift'},medium
hover,w-12 h-12 rounded-full border border-white/10 flex items-cen,borderColor change on hover,interaction: {effect:'color_shift'},medium
hover,w-full h-14 bg-white text-apex-base font-heading font-bold t,background change on hover,interaction: {effect:'color_shift'},medium
