site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,0,decomposed,hero,900,no,no,,video,video,media_video,no,no,video → media_video (self-hosted),,,
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,0,decomposed,hero,900,no,no,,html,html,code_block,yes,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,0,decomposed,hero,900,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h1,hero-title,The Wild Never Sleeps.
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,0,decomposed,hero,900,no,no,,text,text,text_block,no,no,text → text_block,p,hero-body,"Serengeti biome-sync technology meets real-time ethological intelligence. We track, map, a"
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,0,decomposed,hero,900,no,no,,button,button,button,no,no,button → button,a,btn-primary,Explore the System
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,0,decomposed,hero,900,no,no,,button,button,button,no,no,button → button,a,btn-ghost,View Live Data
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,0,decomposed,hero,900,no,no,,text,text,text_block,no,no,text → text_block,div,hud-row,LAT -2.3304° S LONG 34.8332° E
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,0,decomposed,hero,900,no,no,,text,text,text_block,no,no,text → text_block,div,hud-row,SUBJECT LION♀ ID:447 TEMP 38.6°C
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,0,decomposed,hero,900,no,no,,text,text,text_block,no,no,text → text_block,div,hud-row,SIGNAL STRONG PING 4s AGO
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,1,decomposed,telemetry-section,809,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h2,section-title stalk stalk-delay-1 in-view,Intelligenceborn from silence.
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,1,decomposed,telemetry-section,809,no,no,,testimonials,testimonials,testimonials,no,no,testimonials → testimonials,,,
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,2,decomposed,biome-section section-glow,837,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Serengeti Biome-Sync The land breathes data. Our biome-synchronization platform integrates
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,2,decomposed,biome-section section-glow,837,no,no,,row-cell,html,code_block,yes,no,unrecognized cell → code_block,,,PRIDE TERRITORY A GRAZING ZONE
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,3,decomposed,section-glow,761,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h2,section-title stalk stalk-delay-1,Listen to thefrequencyof life.
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,3,decomposed,section-glow,761,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,"Passive acoustic networks capture 24/7 bioacoustic signatures. AI classifies 4,200+ specie"
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,3,decomposed,section-glow,761,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,"Detection 4,213 Species Classified Response 1.2s Threat Alert Latency Uptime 99.7% Array A"
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,4,decomposed,genomic-section,815,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h2,section-title stalk stalk-delay-1,DNA revealswhat eyescannot.
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,4,decomposed,genomic-section,815,no,no,,progress,progress,progress,no,no,progress → code_block (unmapped),,,
