site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,0,decomposed,hero,900,no,no,,video,video,media_video,no,no,video → media_video (self-hosted),,,
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,0,decomposed,hero,900,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h1,hero-title serif,Autumn Flow
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,0,decomposed,hero,900,no,no,,button,button,button,no,no,button → button,button,btn-primary,Explore the Flow
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,0,decomposed,hero,900,no,no,,button,button,button,no,no,button → button,button,btn-secondary,Seasonal Overview
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,0,decomposed,hero,900,no,no,,text,text,text_block,no,no,text → text_block,div,floating-note left-[8%] top-[18%],Golden fields · Harvest 12
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,0,decomposed,hero,900,no,no,,text,text,text_block,no,no,text → text_block,div,floating-note bottom-[18%] left-[12%],Riparian restoration active
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,0,decomposed,hero,900,no,no,,text,text,text_block,no,no,text → text_block,div,floating-note right-[8%] top-[26%],Irrigation pulse · 87%
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,1,decomposed,section,880,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Floating Mountain Split Designed to breathe with the river. The landscape follows the natu
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,1,decomposed,section,880,no,no,,row-cell,image,media_image,no,no,image cell → media_image,,,
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,2,decomposed,section pt-0,1366,no,no,,text,text,text_block,no,no,text → text_block,div,section-label,Rice Field Grid
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,2,decomposed,section pt-0,1366,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h2,section-title serif,Staggered layers like terraced fields.
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,2,decomposed,section pt-0,1366,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Golden-ratio cultivation Organic planting geometry Crop spacing and field sequencing tuned
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,2,decomposed,section pt-0,1366,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,"Zen-organic harmonics Rhythms of water and silence Wind, moisture, and reflection systems "
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,2,decomposed,section pt-0,1366,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Riparian restoration River-edge recovery Native vegetation and softer runoff pathways stab
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,3,decomposed,terrain-core,912,no,no,,text,text,text_block,no,no,text → text_block,div,section-label,Golden Core
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,3,decomposed,terrain-core,912,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h2,serif,A quiet center for the entire landscape.
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,3,decomposed,terrain-core,912,no,no,,text,text,text_block,no,no,text → text_block,div,core-tags,Soil vitality 84% Water reserve 92% Harvest pulse stable
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,4,decomposed,slider-section,789,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Still Water Slider Horizontal mission states across the valley.
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,4,decomposed,slider-section,789,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,"Each strip captures a different seasonal condition: irrigation, restoration, and reflectiv"
