site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,0,verbatim,hero,1041,no,no,,verbatim,section-html,code_block,yes,no,whole section kept verbatim (hero / media-bearing / undecomposable) → code_block,,hero,Asynchronous ledger processing · fiscal-neural mapping Flux Capital Real-Time Financial In
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,1,decomposed,section,1048,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,"The Dual-Stream Two operational streams, one financial surface."
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,1,decomposed,section,1048,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Technical data sits on the left while monitored outcomes and invoice activity populate the
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,1,decomposed,section,1048,no,no,,steps,steps,steps,no,no,steps → code_block (unmapped),,,
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,2,decomposed,telemetry,1584,no,yes,"gradient=linear-gradient(rgb(15, 17, 20) 0%, rgb(17, 21, 26) 100%)",row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,"Telemetry Grid Thin neon lines, dense state, no decorative noise."
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,2,decomposed,telemetry,1584,no,yes,"gradient=linear-gradient(rgb(15, 17, 20) 0%, rgb(17, 21, 26) 100%)",row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,"Live charts and operational modules update like a high-frequency trading surface, with eac"
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,2,decomposed,telemetry,1584,no,yes,"gradient=linear-gradient(rgb(15, 17, 20) 0%, rgb(17, 21, 26) 100%)",row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Cash flow Q1 / LIVE Real-time liquidity telemetry Watch available cash shift across operat
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,2,decomposed,telemetry,1584,no,yes,"gradient=linear-gradient(rgb(15, 17, 20) 0%, rgb(17, 21, 26) 100%)",row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Approvals N-01 Control tower routing Payment decisions are scored and routed with strict p
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,2,decomposed,telemetry,1584,no,yes,"gradient=linear-gradient(rgb(15, 17, 20) 0%, rgb(17, 21, 26) 100%)",row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,"Compliance S-04 Policy boundary checks Every rule is explicit, observable, and ready for a"
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,2,decomposed,telemetry,1584,no,yes,"gradient=linear-gradient(rgb(15, 17, 20) 0%, rgb(17, 21, 26) 100%)",row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,"Entity consolidation M-09 Multi-entity operating view One plane for subsidiaries, regions,"
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,2,decomposed,telemetry,1584,no,yes,"gradient=linear-gradient(rgb(15, 17, 20) 0%, rgb(17, 21, 26) 100%)",row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Automation R-14 Asynchronous ledger processing Queue depth remains visible while entries s
