kind,target,evidence,suggested_fx,confidence
trace,trace#2,pinned for ~2041px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
trace,trace#3,pinned for ~2041px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
trace,trace#4,pinned for ~2041px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
trace,trace#5,pinned for ~2041px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
css-animation,.video-layer,keyframes 'diaphragmOpen' auto,entrance animation (Animate.css picker),low
css-animation,.animate-marquee,infinite keyframes 'marquee' translating X,marquee fx: {mode:'left'},high
hover,.shutter-btn,box-shadow change on hover,interaction: {effect:'lift'} or glow_border,medium
hover,.focus-container .focus-item,"filter, opacity, transform, z-index change on hover","interaction: {effect:'scale', scale:{style:'in'}}",medium
hover,.hud-frame,"border-top-color, border-right-color, border-bottom-color, border-left-color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:text-golden-hour,color change on hover,interaction: {effect:'color_shift'},medium
hover,shutter-btn px-6 py-3 md:px-8 md:py-4 rounded-full flex item,"boxShadow, borderColor change on hover",interaction: {effect:'color_shift'},medium
hover,focus-item obsidian-card p-8 md:p-10 rounded-2xl cursor-none,"transform, filter change on hover",interaction: {effect:'grayscale'|'brightness'},medium
