site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=abstract&slug=bio-tech-computing-interface,home,0,decomposed,grid grid-cols-1 @5xl:grid-cols-12 gap-8 auto-rows-auto,1372,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Neuro-Symbolic Load
https://openhero.art/api/preview?category=abstract&slug=bio-tech-computing-interface,home,0,decomposed,grid grid-cols-1 @5xl:grid-cols-12 gap-8 auto-rows-auto,1372,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h2,text-5xl tracking-tight mb-6 font-light,Organic Mesh Routing
https://openhero.art/api/preview?category=abstract&slug=bio-tech-computing-interface,home,0,decomposed,grid grid-cols-1 @5xl:grid-cols-12 gap-8 auto-rows-auto,1372,no,no,,text,text,text_block,no,no,text → text_block,span,text-[var(--text-dim)] text-xs uppercase tracking-[0.3em] font-medium,Latency
https://openhero.art/api/preview?category=abstract&slug=bio-tech-computing-interface,home,0,decomposed,grid grid-cols-1 @5xl:grid-cols-12 gap-8 auto-rows-auto,1372,no,no,,text,text,text_block,no,no,text → text_block,div,"text-[5.5rem] font-light tracking-tighter neural-stat mb-2 text-[var(--amber-glow)] drop-shadow-[0_0_15px_rgba(200,150,50,0.4)]",0.02
https://openhero.art/api/preview?category=abstract&slug=bio-tech-computing-interface,home,0,decomposed,grid grid-cols-1 @5xl:grid-cols-12 gap-8 auto-rows-auto,1372,no,no,,text,text,text_block,no,no,text → text_block,div,text-sm text-[var(--text-core)] uppercase tracking-[0.2em],Milliseconds
https://openhero.art/api/preview?category=abstract&slug=bio-tech-computing-interface,home,0,decomposed,grid grid-cols-1 @5xl:grid-cols-12 gap-8 auto-rows-auto,1372,no,no,,text,text,text_block,no,no,text → text_block,span,text-[var(--text-dim)] text-xs uppercase tracking-[0.3em] font-medium,Asymmetric Anchor
https://openhero.art/api/preview?category=abstract&slug=bio-tech-computing-interface,home,0,decomposed,grid grid-cols-1 @5xl:grid-cols-12 gap-8 auto-rows-auto,1372,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=abstract&slug=bio-tech-computing-interface,home,0,decomposed,grid grid-cols-1 @5xl:grid-cols-12 gap-8 auto-rows-auto,1372,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=abstract&slug=bio-tech-computing-interface,home,0,decomposed,grid grid-cols-1 @5xl:grid-cols-12 gap-8 auto-rows-auto,1372,no,no,,text,text,text_block,no,no,text → text_block,p,text-lg mt-8 text-[var(--text-dim)] font-light,Fluid intelligence requires interface malleability. Tension replaces structure.
https://openhero.art/api/preview?category=abstract&slug=bio-tech-computing-interface,home,0,decomposed,grid grid-cols-1 @5xl:grid-cols-12 gap-8 auto-rows-auto,1372,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,"""If a solid edge is detected, the biomorphic system has failed."""
