kind,target,evidence,suggested_fx,confidence
trace,trace#0,pinned for ~2390px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
trace,trace#20,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#23,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#26,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
css-animation,.animate-pulse,infinite keyframes 'pulse' (opacity),physics float/pulse or backgrounds module,low
css-animation,.animate-firefly,"infinite keyframes 'firefly' (opacity,transform)",physics float/pulse or backgrounds module,low
hover,.btn-amber,"background-image, background-color, box-shadow, transform change on hover",interaction: {effect:'lift'},medium
hover,.hover\:border-amber-glow,"--tw-border-opacity, border-top-color, border-right-color, border-bottom-color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:bg-amber-glow\/10,background-color change on hover,interaction: {effect:'color_shift'},medium
hover,.hover\:bg-amber-glow\/20,background-color change on hover,interaction: {effect:'color_shift'},medium
hover,.hover\:bg-amber-glow,"--tw-bg-opacity, background-color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:text-amber-glow,"--tw-text-opacity, color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:text-white,"--tw-text-opacity, color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:text-amber-400,"--tw-text-opacity, color change on hover",interaction: {effect:'color_shift'},medium
hover,btn-amber px-8 py-3 rounded-full font-sans text-xs uppercase,"transform, boxShadow, background, borderColor change on hover",interaction: {effect:'color_shift'},medium
hover,btn-amber px-10 py-5 rounded-full font-sans text-xs uppercas,"transform, boxShadow, background, borderColor change on hover",interaction: {effect:'color_shift'},medium
hover,px-10 py-5 rounded-full font-sans text-xs uppercase tracking,color change on hover,interaction: {effect:'color_shift'},medium
hover,border border-white/20 hover:border-amber-glow hover:bg-ambe,"background, borderColor change on hover",interaction: {effect:'color_shift'},medium
hover,w-10 h-10 rounded-full border border-white/10 flex items-cen,"background, color, borderColor change on hover",interaction: {effect:'color_shift'},medium
hover,absolute right-1 top-1 bottom-1 w-10 bg-amber-glow/20 text-a,"background, color change on hover",interaction: {effect:'color_shift'},medium
