site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,0,decomposed,hero,900,no,yes,"gradient=linear-gradient(rgba(255, 153, 84, 0.3) 0%, rgba(18, 21, 28, 0.86) 52%, rgba(11, 14, 18, 0.95) 100%)",video,video,media_video,no,no,video → media_video (self-hosted),,,
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,0,decomposed,hero,900,no,yes,"gradient=linear-gradient(rgba(255, 153, 84, 0.3) 0%, rgba(18, 21, 28, 0.86) 52%, rgba(11, 14, 18, 0.95) 100%)",heading,heading,special_heading,no,no,heading → special_heading,h1,"hero-title display reveal drop-shadow-[0_10px_20px_rgba(0,0,0,0.8)] drop-shadow-[0_8px_8px_rgba(0,0,0,1)] in",Aether House
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,0,decomposed,hero,900,no,yes,"gradient=linear-gradient(rgba(255, 153, 84, 0.3) 0%, rgba(18, 21, 28, 0.86) 52%, rgba(11, 14, 18, 0.95) 100%)",button,button,button,no,no,button → button,button,"lantern-core px-7 py-5 drop-shadow-[0_4px_12px_rgba(0,0,0,0.5)]",Open the Studio
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,0,decomposed,hero,900,no,yes,"gradient=linear-gradient(rgba(255, 153, 84, 0.3) 0%, rgba(18, 21, 28, 0.86) 52%, rgba(11, 14, 18, 0.95) 100%)",button,button,button,no,no,button → button,button,"rounded-full border border-white/10 bg-white/8 px-7 py-5 text-[11px] uppercase tracking-[0.26em] text-white/80 backdrop-blur-[20px] transition hover:bg-white/12 drop-shadow-[0_4px_10px_rgba(0,0,0,0.5)]",View Manifesto
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,0,decomposed,hero,900,no,yes,"gradient=linear-gradient(rgba(255, 153, 84, 0.3) 0%, rgba(18, 21, 28, 0.86) 52%, rgba(11, 14, 18, 0.95) 100%)",text,text,text_block,no,no,text → text_block,div,"hero-chips reveal drop-shadow-[0_2px_4px_rgba(0,0,0,0.9)] in",Teal Wood Amber Glow Twilight Blue
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,1,decomposed,section,1059,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,The Code Window A manifesto written in real time.
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,1,decomposed,section,1059,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,"The studio’s principles appear as a live terminal, floating inside a rounded liquid window"
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,1,decomposed,section,1059,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Nocturnal logic console
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,1,decomposed,section,1059,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,LIVE
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,1,decomposed,section,1059,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,"Manifesto Nocturnal code cycles are a craft, not a constraint. Atmospheric deployment shou"
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,1,decomposed,section,1059,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,"Deployment rhythm 24/7 Atmospheric releases, quiet handoffs, and calm production cycles. L"
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,2,decomposed,projects,1314,no,yes,"gradient=radial-gradient(circle at 10% 0%, rgba(255, 179, 109, 0.12), rgba(0, 0, 0, 0) 16%), linear-gradient(rgba(26, 35, 42, 0.92), rgb(11, 14, 18))",row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,City-Lights Grid Projects that light up only when they are approached.
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,2,decomposed,projects,1314,no,yes,"gradient=radial-gradient(circle at 10% 0%, rgba(255, 179, 109, 0.12), rgba(0, 0, 0, 0) 16%), linear-gradient(rgba(26, 35, 42, 0.92), rgb(11, 14, 18))",row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Hover to reveal each project as a lit apartment window in the city below. Every tile carri
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,2,decomposed,projects,1314,no,yes,"gradient=radial-gradient(circle at 10% 0%, rgba(255, 179, 109, 0.12), rgba(0, 0, 0, 0) 16%), linear-gradient(rgba(26, 35, 42, 0.92), rgb(11, 14, 18))",row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Digital Architecture Midnight journal for a quiet luxury brand. Typography-led landing pag
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,2,decomposed,projects,1314,no,yes,"gradient=radial-gradient(circle at 10% 0%, rgba(255, 179, 109, 0.12), rgba(0, 0, 0, 0) 16%), linear-gradient(rgba(26, 35, 42, 0.92), rgb(11, 14, 18))",row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,"Creator Studio Editorial toolkits for founders. Systems for storytelling, product launches"
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,2,decomposed,projects,1314,no,yes,"gradient=radial-gradient(circle at 10% 0%, rgba(255, 179, 109, 0.12), rgba(0, 0, 0, 0) 16%), linear-gradient(rgba(26, 35, 42, 0.92), rgb(11, 14, 18))",row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,"Luxury Commerce High-trust boutique storefronts. Warm, tactile shopping experiences that b"
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,2,decomposed,projects,1314,no,yes,"gradient=radial-gradient(circle at 10% 0%, rgba(255, 179, 109, 0.12), rgba(0, 0, 0, 0) 16%), linear-gradient(rgba(26, 35, 42, 0.92), rgb(11, 14, 18))",row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,"Atmospheric System Dark-mode design infrastructure for modern teams. Reusable motion, layo"
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,2,decomposed,projects,1314,no,yes,"gradient=radial-gradient(circle at 10% 0%, rgba(255, 179, 109, 0.12), rgba(0, 0, 0, 0) 16%), linear-gradient(rgba(26, 35, 42, 0.92), rgb(11, 14, 18))",row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,"Motion Language Soft flicker, branch sway, and lantern glow. A motion layer that behaves l"
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,2,decomposed,projects,1314,no,yes,"gradient=radial-gradient(circle at 10% 0%, rgba(255, 179, 109, 0.12), rgba(0, 0, 0, 0) 16%), linear-gradient(rgba(26, 35, 42, 0.92), rgb(11, 14, 18))",row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Product Strategy Quiet systems for sharp operators. Strategic landing experiences that tur
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,3,decomposed,section,1002,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Sunset-to-Night Transition A background that deepens as the page descends.
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,3,decomposed,section,1002,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,"Warm sunset notes drift into indigo as the page moves downward, keeping the interface huma"
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,3,decomposed,section,1002,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Branch-level deployment The studio’s operating rhythm is built for quiet focus. Aether Hou
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,3,decomposed,section,1002,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,"Low-latency tranquility Strategy Editorial systems Motion 120fps feel Tone Warm, nocturnal"
