site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,0,decomposed,relative min-h-screen overflow-hidden,900,no,no,,video,video,media_video,no,no,video → media_video (self-hosted),,,
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,0,decomposed,relative min-h-screen overflow-hidden,900,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,0,decomposed,relative min-h-screen overflow-hidden,900,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h1,"serif mt-8 text-[clamp(4rem,9vw,8rem)] leading-[.85] text-white",Synthetic Light Architectures
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,0,decomposed,relative min-h-screen overflow-hidden,900,no,no,,button,button,button,no,no,button → button,button,glass rounded-full px-8 py-5 text-[11px] uppercase tracking-[0.25em],Launch Spectrum
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,0,decomposed,relative min-h-screen overflow-hidden,900,no,no,,button,button,button,no,no,button → button,button,rounded-full border border-white/10 px-8 py-5 text-[11px] uppercase tracking-[0.25em] text-white/70,Explore Systems
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,0,decomposed,relative min-h-screen overflow-hidden,900,no,no,,text,text,text_block,no,no,text → text_block,div,floating-label right-[10%] top-[28%],Live Cytoplasmic Stability
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,1,decomposed,relative overflow-hidden px-8 py-40,585,no,no,,text,text,text_block,no,no,text → text_block,div,massive-number absolute left-0 top-0,01
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,1,decomposed,relative overflow-hidden px-8 py-40,585,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Editorial Narrative Light behaving like biological matter.
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,1,decomposed,relative overflow-hidden px-8 py-40,585,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Lumina Gen dissolves the idea of a traditional dashboard into a reactive atmospheric syste
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,2,decomposed,px-8 py-20,880,no,no,,html,html,code_block,yes,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,2,decomposed,px-8 py-20,880,no,no,,html,html,code_block,yes,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,2,decomposed,px-8 py-20,880,no,no,,html,html,code_block,yes,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,2,decomposed,px-8 py-20,880,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Neural-optic Core A monolithic chromatic ecosystem.
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,2,decomposed,px-8 py-20,880,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Real-time biosynthetic telemetry visualized through a living atmospheric architecture.
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,2,decomposed,px-8 py-20,880,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Yield Index 98%
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,2,decomposed,px-8 py-20,880,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Photon Stability Live
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,2,decomposed,px-8 py-20,880,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Neural Sync 0.2ms
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,3,decomposed,overflow-hidden py-40,464,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Chromatic Sequencing
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,3,decomposed,overflow-hidden py-40,464,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Neural Synchronization
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,3,decomposed,overflow-hidden py-40,464,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Photon Biosynthesis
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,3,decomposed,overflow-hidden py-40,464,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Synthetic Luminosity
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,4,decomposed,px-8 py-20,763,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Field Observation “The interface dissolves into pure atmospheric light.” Instead of window
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,4,decomposed,px-8 py-20,763,no,no,,row-cell,buttons,button,no,no,button group → button(s),,,Access Prism
