site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,0,verbatim,hero,1010,no,no,,verbatim,section-html,code_block,yes,no,whole section kept verbatim (hero / media-bearing / undecomposable) → code_block,,hero,Molecular assembly · Maillard-reaction aesthetics Prime Gravity An ultra-premium burger at
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,1,decomposed,section,1491,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,"Assembly Ledger Built like a production line, plated like a signature dish."
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,1,decomposed,section,1491,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,"Each stage follows the heat, not a grid. The sequence moves as a drip of sauce, with every"
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,1,decomposed,section,1491,no,no,,steps,steps,steps,no,no,steps → code_block (unmapped),,,
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,2,decomposed,text-stack,814,no,yes,"gradient=radial-gradient(circle at 18% 18%, rgba(255, 153, 60, 0.09), rgba(0, 0, 0, 0) 18%), radial-gradient(circle at 84% 28%, rgba(118, 204, 86, 0.08), rgba(0, 0, 0, 0) 16%), linear-gradient(rgba(17, 17, 17, 0.55), rgba(8, 8, 8, 0.92))",row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Flavor Stack Ingredients suspended in a luxury of heat and texture. The room opens into a 
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,2,decomposed,text-stack,814,no,yes,"gradient=radial-gradient(circle at 18% 18%, rgba(255, 153, 60, 0.09), rgba(0, 0, 0, 0) 18%), radial-gradient(circle at 84% 28%, rgba(118, 204, 86, 0.08), rgba(0, 0, 0, 0) 16%), linear-gradient(rgba(17, 17, 17, 0.55), rgba(8, 8, 8, 0.92))",row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,"Bread Toasted brioche base Warm Protein Prime patty, seared hard Smoke Melt Cheddar blanke"
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,3,decomposed,finish,1132,no,no,,row-cell,blocks,special_heading,no,no,content column → decomposed shortcodes,,,"Service Finish A dining room tuned for texture, heat, and precision. The final sequence se"
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,3,decomposed,finish,1132,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Molten cheddar orange 84° Grill cadence Live
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,3,decomposed,finish,1132,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,"Prime Gravity finishes where the smoke clears. A tactile, high-contrast burger atelier bui"
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,3,decomposed,finish,1132,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Maillard Assembly Hydro-suspension Textural layering
