kind,target,evidence,suggested_fx,confidence
trace,trace#0,pinned for ~3993px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
trace,trace#1,pinned for ~3993px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
trace,trace#3,pinned for ~3993px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
trace,trace#4,pinned for ~3993px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
trace,trace#56,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#59,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
css-animation,.aurora-band,infinite keyframes 'aurora-drift' translating X,marquee fx: {mode:'left'},high
css-animation,.video-fallback-bg,infinite keyframes 'portal-shimmer' (filter),physics float/pulse or backgrounds module,low
css-animation,.nav-logo-mark,infinite keyframes 'logo-spin' (transform),physics float/pulse or backgrounds module,low
css-animation,.hero-eyebrow,keyframes 'fade-up' 0.8s,entrance animation (Animate.css picker),low
css-animation,.hero-title-line span,keyframes 'slide-up' 1s,entrance animation (Animate.css picker),low
css-animation,.hero-sub,keyframes 'fade-up' 0.8s,entrance animation (Animate.css picker),low
css-animation,.hero-actions,keyframes 'fade-up' 0.8s,entrance animation (Animate.css picker),low
css-animation,.stats-row,keyframes 'fade-up' 0.8s,entrance animation (Animate.css picker),low
css-animation,.badge-dot,"infinite keyframes 'pulse-dot' (opacity,transform)",physics float/pulse or backgrounds module,low
css-animation,.orb-teal,infinite keyframes 'orb-float' (transform),physics float/pulse or backgrounds module,low
css-animation,.orb-pink,infinite keyframes 'orb-float' (transform),physics float/pulse or backgrounds module,low
css-animation,.orb-purple,infinite keyframes 'orb-float' (transform),physics float/pulse or backgrounds module,low
css-animation,.shine-bar,infinite keyframes 'shine-sweep' (left),physics float/pulse or backgrounds module,low
hover,"body:has(a) .cursor-ring, body:has(button) .cursor-ring","width, height, border-top-color, border-right-color change on hover",interaction: {effect:'color_shift'},medium
hover,.nav-links a,color change on hover,interaction: {effect:'color_shift'},medium
hover,.nav-cta,"border-top-color, border-right-color, border-bottom-color, border-left-color change on hover",interaction: {effect:'lift'} or glow_border,medium
hover,.btn-primary .btn-primary-bg,transform change on hover,"interaction: {effect:'scale', scale:{style:'in'}}",medium
hover,.btn-ghost,"color, border-top-color, border-right-color, border-bottom-color change on hover",interaction: {effect:'color_shift'},medium
hover,.bento-card,"transform, box-shadow change on hover",interaction: {effect:'lift'},medium
hover,.gear-item,"background-image, background-position-x, background-position-y, background-size change on hover",interaction: {effect:'color_shift'},medium
hover,.feature-card,"transform, box-shadow change on hover",interaction: {effect:'lift'},medium
hover,.footer-links a,color change on hover,interaction: {effect:'color_shift'},medium
hover,nav-cta,"boxShadow, borderColor change on hover",interaction: {effect:'color_shift'},medium
hover,btn-ghost,"color, borderColor change on hover",interaction: {effect:'color_shift'},medium
