kind,target,evidence,suggested_fx,confidence
trace,trace#0,pinned for ~3548px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
trace,trace#1,pinned for ~3548px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
trace,trace#3,pinned for ~3548px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
trace,trace#12,document position drifts -66px over 3548px of scroll,gsap_motion: {effect:'parallax'} (ratio ≈ -0.02),medium
trace,trace#19,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#22,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#24,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#26,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#28,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#38,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#41,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#44,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#45,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#47,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
css-animation,.heat-wave,infinite keyframes 'heatWave' translating X,marquee fx: {mode:'left'},high
css-animation,".seed, .drip","infinite keyframes 'flight' (transform,opacity)",physics float/pulse or backgrounds module,low
css-animation,.assemble,keyframes 'assembleIn' 0.9s,entrance animation (Animate.css picker),low
hover,.textured-touch,"transform, box-shadow change on hover",interaction: {effect:'lift'},medium
hover,.sizzle,"transform, border-top-color, border-right-color, border-bottom-color change on hover",interaction: {effect:'lift'},medium
hover,.sizzle::before,"opacity, transform change on hover","interaction: {effect:'scale', scale:{style:'in'}}",medium
hover,.slat-nav a,color change on hover,interaction: {effect:'color_shift'},medium
hover,sizzle px-5,"transform, boxShadow, borderColor change on hover",interaction: {effect:'color_shift'},medium
hover,sizzle h-[54px] px-5,"transform, boxShadow, borderColor change on hover",interaction: {effect:'color_shift'},medium
