kind,target,evidence,suggested_fx,confidence
trace,trace#0,pinned for ~2942px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
css-animation,.kinetic-bend,keyframes 'bend-path' auto,entrance animation (Animate.css picker),low
css-animation,.pearl-line,keyframes 'draw-line' 2s,entrance animation (Animate.css picker),low
css-animation,.animate-float,infinite keyframes 'float' (transform),physics float/pulse or backgrounds module,low
css-animation,.animate-pulse-glow,"infinite keyframes 'pulse-glow' (opacity,filter)",physics float/pulse or backgrounds module,low
hover,.pearl-refraction,"transform, backdrop-filter, border-top-color, border-right-color change on hover",interaction: {effect:'lift'},medium
hover,.hover\:text-sunset,"--tw-text-opacity, color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:grayscale-0,"--tw-grayscale, filter change on hover",interaction: {effect:'grayscale'|'brightness'},medium
hover,.group .group-hover\:brightness-100,"--tw-brightness, filter change on hover",interaction: {effect:'grayscale'|'brightness'},medium
hover,.group .group-hover\:grayscale-0,"--tw-grayscale, filter change on hover",interaction: {effect:'grayscale'|'brightness'},medium
hover,pearl-refraction mt-10 px-10 py-4 font-syne text-[9px] track,"transform, borderColor change on hover",interaction: {effect:'color_shift'},medium
