kind,target,evidence,suggested_fx,confidence
trace,trace#0,pinned for ~2955px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
trace,trace#1,pinned for ~2955px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
hover,.hover\:border-zinc-500,"--tw-border-opacity, border-top-color, border-right-color, border-bottom-color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:bg-white,"--tw-bg-opacity, background-color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:bg-brand-light,"--tw-bg-opacity, background-color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:bg-zinc-900\/80,background-color change on hover,interaction: {effect:'color_shift'},medium
hover,.hover\:bg-zinc-800,"--tw-bg-opacity, background-color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:bg-zinc-200,"--tw-bg-opacity, background-color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:text-white,"--tw-text-opacity, color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:text-black,"--tw-text-opacity, color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:text-brand-light,"--tw-text-opacity, color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:grayscale-0,"--tw-grayscale, filter change on hover",interaction: {effect:'grayscale'|'brightness'},medium
hover,hover:text-white flex items-center gap-1 transition-colors,color change on hover,interaction: {effect:'color_shift'},medium
hover,hover:text-white transition-colors,color change on hover,interaction: {effect:'color_shift'},medium
hover,hidden sm:block text-sm font-medium text-zinc-300 hover:text,color change on hover,interaction: {effect:'color_shift'},medium
hover,px-5 py-2.5 rounded-full border border-zinc-700 text-sm font,"background, color change on hover",interaction: {effect:'color_shift'},medium
hover,group relative inline-flex items-center justify-center gap-2,background change on hover,interaction: {effect:'color_shift'},medium
hover,glass-card p-8 rounded-2xl hover:bg-zinc-900/80 transition-c,background change on hover,interaction: {effect:'color_shift'},medium
hover,text-brand hover:text-brand-light font-medium flex items-cen,color change on hover,interaction: {effect:'color_shift'},medium
hover,w-full py-3 rounded-xl border border-zinc-700 font-medium te,background change on hover,interaction: {effect:'color_shift'},medium
