site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,0,decomposed,relative h-screen overflow-hidden,900,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,0,decomposed,relative h-screen overflow-hidden,900,no,no,,video,video,media_video,no,no,video → media_video (self-hosted),,,
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,0,decomposed,relative h-screen overflow-hidden,900,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,0,decomposed,relative h-screen overflow-hidden,900,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h1,"serif condense mt-10 text-[clamp(4rem,11vw,10rem)] leading-[.85]",Vértice Verde
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,0,decomposed,relative h-screen overflow-hidden,900,no,no,,button,button,button,no,no,button → button,button,mist-button px-8 py-5 text-[11px] uppercase tracking-[0.24em],Explore Sanctuary
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,0,decomposed,relative h-screen overflow-hidden,900,no,no,,button,button,button,no,no,button → button,button,rounded-full bg-white/8 px-8 py-5 text-[11px] uppercase tracking-[0.24em] text-white/70 backdrop-blur-3xl transition hover:bg-white/14,View Research Map
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,1,decomposed,ascend-light relative overflow-hidden px-8 py-36,1188,no,yes,"gradient=radial-gradient(circle at 0% 0%, rgba(255, 255, 255, 0.55), rgba(0, 0, 0, 0) 20%), linear-gradient(rgb(237, 247, 239) 0%, rgb(215, 234, 219) 100%)",heading,heading,special_heading,no,no,heading → special_heading,h2,serif mt-6 text-6xl leading-[.9] text-emerald-950,Humidity shaped by elevation.
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,1,decomposed,ascend-light relative overflow-hidden px-8 py-36,1188,no,yes,"gradient=radial-gradient(circle at 0% 0%, rgba(255, 255, 255, 0.55), rgba(0, 0, 0, 0) 20%), linear-gradient(rgb(237, 247, 239) 0%, rgb(215, 234, 219) 100%)",text,text,text_block,no,no,text → text_block,div,text-[11px] uppercase tracking-[0.28em] text-emerald-900/90,Carbon-sink highlands
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,1,decomposed,ascend-light relative overflow-hidden px-8 py-36,1188,no,yes,"gradient=radial-gradient(circle at 0% 0%, rgba(255, 255, 255, 0.55), rgba(0, 0, 0, 0) 20%), linear-gradient(rgb(237, 247, 239) 0%, rgb(215, 234, 219) 100%)",text,text,text_block,no,no,text → text_block,div,mt-5 text-6xl font-semibold text-emerald-950,84%
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,1,decomposed,ascend-light relative overflow-hidden px-8 py-36,1188,no,yes,"gradient=radial-gradient(circle at 0% 0%, rgba(255, 255, 255, 0.55), rgba(0, 0, 0, 0) 20%), linear-gradient(rgb(237, 247, 239) 0%, rgb(215, 234, 219) 100%)",text,text,text_block,no,no,text → text_block,div,text-[11px] uppercase tracking-[0.28em] text-emerald-900/90,Epiphytic ecosystems
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,1,decomposed,ascend-light relative overflow-hidden px-8 py-36,1188,no,yes,"gradient=radial-gradient(circle at 0% 0%, rgba(255, 255, 255, 0.55), rgba(0, 0, 0, 0) 20%), linear-gradient(rgb(237, 247, 239) 0%, rgb(215, 234, 219) 100%)",text,text,text_block,no,no,text → text_block,p,mt-5 text-base leading-8 text-emerald-950/70,"Orchids, mosses, and canopy-rooted species grow suspended in mist-heavy atmospheric corrid"
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,2,decomposed,ascend-mid relative overflow-hidden px-8 py-40,1650,no,yes,"gradient=radial-gradient(circle at 50% 0%, rgba(255, 255, 255, 0.46), rgba(0, 0, 0, 0) 40%), linear-gradient(rgb(26, 46, 34) 0%, rgb(27, 91, 44) 100%)",heading,heading,special_heading,no,no,heading → special_heading,h2,"serif mt-6 text-[clamp(3rem,7vw,7rem)] leading-[.88] text-white",Floating ecosystems between fog and light.
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,2,decomposed,ascend-mid relative overflow-hidden px-8 py-40,1650,no,yes,"gradient=radial-gradient(circle at 50% 0%, rgba(255, 255, 255, 0.46), rgba(0, 0, 0, 0) 40%), linear-gradient(rgb(26, 46, 34) 0%, rgb(27, 91, 44) 100%)",text,text,text_block,no,no,text → text_block,div,text-[10px] uppercase tracking-[0.28em] text-white/90,Mycorrhizal networks
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,2,decomposed,ascend-mid relative overflow-hidden px-8 py-40,1650,no,yes,"gradient=radial-gradient(circle at 50% 0%, rgba(255, 255, 255, 0.46), rgba(0, 0, 0, 0) 40%), linear-gradient(rgb(26, 46, 34) 0%, rgb(27, 91, 44) 100%)",text,text,text_block,no,no,text → text_block,div,mt-8 text-5xl font-semibold,12km
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,2,decomposed,ascend-mid relative overflow-hidden px-8 py-40,1650,no,yes,"gradient=radial-gradient(circle at 50% 0%, rgba(255, 255, 255, 0.46), rgba(0, 0, 0, 0) 40%), linear-gradient(rgb(26, 46, 34) 0%, rgb(27, 91, 44) 100%)",text,text,text_block,no,no,text → text_block,p,mt-6 text-sm leading-7 text-white/70,Underground fungal communication systems extending beneath the mountain floor.
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,2,decomposed,ascend-mid relative overflow-hidden px-8 py-40,1650,no,yes,"gradient=radial-gradient(circle at 50% 0%, rgba(255, 255, 255, 0.46), rgba(0, 0, 0, 0) 40%), linear-gradient(rgb(26, 46, 34) 0%, rgb(27, 91, 44) 100%)",heading,heading,special_heading,no,no,heading → special_heading,h3,serif mt-8 text-5xl leading-[.9],Clouds condensed into rivers.
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,2,decomposed,ascend-mid relative overflow-hidden px-8 py-40,1650,no,yes,"gradient=radial-gradient(circle at 50% 0%, rgba(255, 255, 255, 0.46), rgba(0, 0, 0, 0) 40%), linear-gradient(rgb(26, 46, 34) 0%, rgb(27, 91, 44) 100%)",text,text,text_block,no,no,text → text_block,div,text-[10px] uppercase tracking-[0.28em] text-white/90,Botanical sanctuaries
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,2,decomposed,ascend-mid relative overflow-hidden px-8 py-40,1650,no,yes,"gradient=radial-gradient(circle at 50% 0%, rgba(255, 255, 255, 0.46), rgba(0, 0, 0, 0) 40%), linear-gradient(rgb(26, 46, 34) 0%, rgb(27, 91, 44) 100%)",text,text,text_block,no,no,text → text_block,div,mt-8 text-4xl,148 species
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,2,decomposed,ascend-mid relative overflow-hidden px-8 py-40,1650,no,yes,"gradient=radial-gradient(circle at 50% 0%, rgba(255, 255, 255, 0.46), rgba(0, 0, 0, 0) 40%), linear-gradient(rgb(26, 46, 34) 0%, rgb(27, 91, 44) 100%)",text,text,text_block,no,no,text → text_block,div,text-[10px] uppercase tracking-[0.28em] text-white/90,Mist density
