site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,0,decomposed,relative min-h-screen flex items-center justify-center overflow-hidden pt-20,900,no,no,,video,video,media_video,no,no,video → media_video (self-hosted),,,
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,0,decomposed,relative min-h-screen flex items-center justify-center overflow-hidden pt-20,900,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,0,decomposed,relative min-h-screen flex items-center justify-center overflow-hidden pt-20,900,no,no,,text,text,text_block,no,no,text → text_block,span,font-mono text-xs uppercase tracking-widest text-slate-300,Enclosed Development Sandbox
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,0,decomposed,relative min-h-screen flex items-center justify-center overflow-hidden pt-20,900,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h1,text-5xl sm:text-6xl md:text-7xl font-bold tracking-tight text-white leading-[1.1],Build Deep Inside The Micro Matrix.
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,0,decomposed,relative min-h-screen flex items-center justify-center overflow-hidden pt-20,900,no,no,,button,button,button,no,no,button → button,a,px-8 py-4 bg-cyber-accent text-cyber-bg font-mono text-xs uppercase tracking-widest font-bold hover:bg-cyber-glow transition-all text-center keycap-glow,Initialize Terminal
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,0,decomposed,relative min-h-screen flex items-center justify-center overflow-hidden pt-20,900,no,no,,button,button,button,no,no,button → button,a,px-8 py-4 border border-cyber-border bg-cyber-surface/40 font-mono text-xs uppercase tracking-widest font-light text-slate-300 hover:border-slate-400 transition-all text-center,Review Blueprints
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,1,decomposed,py-32 max-w-7xl mx-auto px-6,743,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,ENVIRONMENT SPECIFICATION The Enclave Architecture By structuralizing developer terminals 
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,1,decomposed,py-32 max-w-7xl mx-auto px-6,743,no,no,,row-cell,card,icon_box,no,no,card → icon_box,,,Localized Shell Run completely segmented file structures unaffected by the greater operati
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,2,decomposed,py-32 bg-cyber-surface/50 border-y border-cyber-border,769,no,yes,"borderTop=1px solid rgb(34, 44, 55) | borderBottom=1px solid rgb(34, 44, 55)",heading,heading,special_heading,no,no,heading → special_heading,h2,text-3xl sm:text-5xl font-bold tracking-tight text-white,Interactive Sandbox Matrix
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,2,decomposed,py-32 bg-cyber-surface/50 border-y border-cyber-border,769,no,yes,"borderTop=1px solid rgb(34, 44, 55) | borderBottom=1px solid rgb(34, 44, 55)",row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,enclave_kernel_v4.sh
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,2,decomposed,py-32 bg-cyber-surface/50 border-y border-cyber-border,769,no,yes,"borderTop=1px solid rgb(34, 44, 55) | borderBottom=1px solid rgb(34, 44, 55)",row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,TTY // 1
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,2,decomposed,py-32 bg-cyber-surface/50 border-y border-cyber-border,769,no,yes,"borderTop=1px solid rgb(34, 44, 55) | borderBottom=1px solid rgb(34, 44, 55)",text,text,text_block,no,no,text → text_block,div,flex items-start gap-2,guest@nexus:~$ init --container=enter_keycap
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,2,decomposed,py-32 bg-cyber-surface/50 border-y border-cyber-border,769,no,yes,"borderTop=1px solid rgb(34, 44, 55) | borderBottom=1px solid rgb(34, 44, 55)",text,text,text_block,no,no,text → text_block,div,,[ OK ] Mounting miniature physical storage matrix...
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,2,decomposed,py-32 bg-cyber-surface/50 border-y border-cyber-border,769,no,yes,"borderTop=1px solid rgb(34, 44, 55) | borderBottom=1px solid rgb(34, 44, 55)",text,text,text_block,no,no,text → text_block,div,,[ OK ] Aligning overhead incandescent ambient illumination arrays...
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,2,decomposed,py-32 bg-cyber-surface/50 border-y border-cyber-border,769,no,yes,"borderTop=1px solid rgb(34, 44, 55) | borderBottom=1px solid rgb(34, 44, 55)",text,text,text_block,no,no,text → text_block,div,,[ OK ] Calibrating 16x16 macro switch layout profiles...
