kind,target,evidence,suggested_fx,confidence
trace,trace#0,pinned for ~3403px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
trace,trace#1,pinned for ~3403px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
css-animation,.animate-leaf-fall-slow,infinite keyframes 'leafFall' translating X,marquee fx: {mode:'left'},high
css-animation,.animate-leaf-fall-fast,infinite keyframes 'leafFall' translating X,marquee fx: {mode:'left'},high
css-animation,.animate-ping,"infinite keyframes 'ping' (transform,opacity)",physics float/pulse or backgrounds module,low
css-animation,.animate-pulse,infinite keyframes 'pulse' (opacity),physics float/pulse or backgrounds module,low
css-animation,.animate-bounce,"infinite keyframes 'bounce' (transform,animation-timing-function)",physics float/pulse or backgrounds module,low
hover,::-webkit-scrollbar-thumb,background-color change on hover,interaction: {effect:'color_shift'},medium
hover,.glass-card,"border-top-color, border-right-color, border-bottom-color, border-left-color change on hover",interaction: {effect:'lift'} or glow_border,medium
hover,.hover\:bg-white,"--tw-bg-opacity, background-color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:bg-white\/10,background-color change on hover,interaction: {effect:'color_shift'},medium
hover,.hover\:bg-azure-400,"--tw-bg-opacity, background-color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:bg-white\/5,background-color change on hover,interaction: {effect:'color_shift'},medium
hover,.hover\:text-azure-400,"--tw-text-opacity, color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:text-skyline,"--tw-text-opacity, color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:text-white,"--tw-text-opacity, color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:text-slate-300,"--tw-text-opacity, color change on hover",interaction: {effect:'color_shift'},medium
hover,bg-white/10 hover:bg-white text-white hover:text-skyline bor,"background, color change on hover",interaction: {effect:'color_shift'},medium
hover,flex items-center justify-center gap-3 bg-white/5 hover:bg-w,background change on hover,interaction: {effect:'color_shift'},medium
hover,glass-card p-8 rounded-3xl transition-all duration-500 group,"boxShadow, borderColor change on hover",interaction: {effect:'color_shift'},medium
hover,glass-card rounded-2xl overflow-hidden group transition-all ,"boxShadow, borderColor change on hover",interaction: {effect:'color_shift'},medium
hover,bg-white hover:bg-azure-400 text-skyline hover:text-white fo,"background, color change on hover",interaction: {effect:'color_shift'},medium
