site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,0,decomposed,relative min-h-[100svh] overflow-hidden,900,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,0,decomposed,relative min-h-[100svh] overflow-hidden,900,no,no,,video,video,media_video,no,no,video → media_video (self-hosted),,,
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,0,decomposed,relative min-h-[100svh] overflow-hidden,900,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h1,"bloom mega-title serif mt-8 text-[clamp(4rem,10vw,9rem)] leading-[.84] text-white active",Ares Logistics
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,0,decomposed,relative min-h-[100svh] overflow-hidden,900,no,no,,button,button,button,no,no,button → button,button,aero rounded-full px-8 py-5 text-[11px] uppercase tracking-[0.25em] text-white,Deploy habitat
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,0,decomposed,relative min-h-[100svh] overflow-hidden,900,no,no,,button,button,button,no,no,button → button,button,rounded-full border border-white/10 bg-white/[0.03] px-8 py-5 text-[11px] uppercase tracking-[0.25em] text-white/75 backdrop-blur-[40px] transition hover:bg-white/[0.05],View logistics map
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,1,decomposed,ridges relative px-6 py-24 md:px-10,714,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Side-scrub Edge-fed telemetry for long-duration Martian operations. The first terrain laye
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,1,decomposed,ridges relative px-6 py-24 md:px-10,714,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Perchlorate remediation Soil recovery systems Restoring local terrain for safe cultivation
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,2,decomposed,ridges relative px-6 py-24 md:px-10,1190,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h2,"serif mt-5 text-[clamp(2.8rem,5vw,5.8rem)] leading-[.9] text-white",Central systems with a circular reveal.
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,2,decomposed,ridges relative px-6 py-24 md:px-10,1190,no,no,,text,text,text_block,no,no,text → text_block,div,text-[10px] uppercase tracking-[0.3em] text-white/45,Habitat Core 03
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,2,decomposed,ridges relative px-6 py-24 md:px-10,1190,no,no,,text,text,text_block,no,no,text → text_block,div,serif mt-4 text-5xl text-white,Central Command
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,2,decomposed,ridges relative px-6 py-24 md:px-10,1190,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Oxygen 99.8%
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,2,decomposed,ridges relative px-6 py-24 md:px-10,1190,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Thermal 21°C
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,2,decomposed,ridges relative px-6 py-24 md:px-10,1190,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Resonance stable
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,2,decomposed,ridges relative px-6 py-24 md:px-10,1190,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,2,decomposed,ridges relative px-6 py-24 md:px-10,1190,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,3,decomposed,ridges relative px-6 py-24 md:px-10,734,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Telemetric-slider Horizontal mission states across the planet’s surface.
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,3,decomposed,ridges relative px-6 py-24 md:px-10,734,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,"Each terrain slice communicates a different operational layer: supply, maintenance, and la"
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,3,decomposed,ridges relative px-6 py-24 md:px-10,734,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Ion telemetry 07 Launch corridor Supply pulse across the equatorial ridge. Cargo streams a
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,3,decomposed,ridges relative px-6 py-24 md:px-10,734,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,"Atmospheric scrubbers Air systems for sealed living. Respiration, pressure, and filtration"
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,3,decomposed,ridges relative px-6 py-24 md:px-10,734,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Habitat shell A-12 Regolith 3D printing Printed infrastructure built from local ground. Te
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,4,decomposed,px-6 py-24 md:px-10,418,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,"Mission statement Built on Mars, for Mars."
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,4,decomposed,px-6 py-24 md:px-10,418,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,"The interface behaves like terrain: ridges overlap, craters open into systems, and every o"
