kind,target,evidence,suggested_fx,confidence
trace,trace#0,pinned for ~1164px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
trace,trace#8,document position drifts -247px over 1185px of scroll,gsap_motion: {effect:'parallax'} (ratio ≈ -0.21),medium
trace,trace#9,document position drifts -275px over 1185px of scroll,gsap_motion: {effect:'parallax'} (ratio ≈ -0.23),medium
trace,trace#13,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#16,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#18,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
css-animation,.sway-text,infinite keyframes 'sway' translating X,marquee fx: {mode:'left'},high
css-animation,.bloom-scroll,keyframes 'bloom-anim' auto,entrance animation (Animate.css picker),low
hover,.group-hover\:text-white:is(:where(.group) *),color change on hover,interaction: {effect:'color_shift'},medium
hover,.hover\:text-sunset-amber,color change on hover,interaction: {effect:'color_shift'},medium
hover,.dew-btn,"box-shadow, transform change on hover",interaction: {effect:'lift'},medium
hover,.bento-card,"transform, mask-image change on hover",interaction: {effect:'lift'},medium
hover,bento-card @4xl:col-span-1 rounded-[2.5rem] p-10 md:p-14 min,"transform, filter change on hover",interaction: {effect:'grayscale'|'brightness'},medium
