kind,target,evidence,suggested_fx,confidence
trace,trace#0,pinned for ~2889px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
trace,trace#8,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#9,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#10,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#11,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
css-animation,.kinetic-title,"infinite keyframes 'textShimmer' (background-position-x,background-position-y)",physics float/pulse or backgrounds module,low
css-animation,.scroll-reveal,keyframes 'revealAnim' ,entrance animation (Animate.css picker),low
css-animation,.animate-\[revealAnim_1s_ease_forwards\],keyframes 'revealAnim' 1s,entrance animation (Animate.css picker),low
css-animation,.animate-pulse,infinite keyframes 'pulse' (opacity),physics float/pulse or backgrounds module,low
hover,.btn-mercury,"transform, border-top-color, border-right-color, border-bottom-color change on hover",interaction: {effect:'lift'},medium
hover,.hover\:border-accent,"border-top-color, border-right-color, border-bottom-color, border-left-color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:text-accent,color change on hover,interaction: {effect:'color_shift'},medium
hover,.hover\:text-white,"--tw-text-opacity, color change on hover",interaction: {effect:'color_shift'},medium
hover,btn-mercury px-6 py-2 rounded-full border border-white/10 te,"transform, borderColor change on hover",interaction: {effect:'color_shift'},medium
hover,md:col-span-4 bento-card rounded-[2.5rem] p-12 flex flex-col,"transform, filter change on hover",interaction: {effect:'grayscale'|'brightness'},medium
hover,md:col-span-4 bento-card rounded-[2.5rem] p-12 scroll-reveal,"transform, filter change on hover",interaction: {effect:'grayscale'|'brightness'},medium
