site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,0,verbatim,relative w-full h-screen flex items-center justify-center overflow-hidden,900,no,no,,verbatim,section-html,code_block,yes,no,whole section kept verbatim (hero / media-bearing / undecomposable) → code_block,,relative w-full h-screen flex items-center justify-center overflow-hidden,Observation Vector Active The Edge Of Absolute Stillness Detach completely from the lower 
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,1,decomposed,py-32 px-6 max-w-7xl mx-auto border-t border-white/5,827,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.05)",row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,01 / Stratum Above the structural friction. Humanity spends its lifecycles inside dense at
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,1,decomposed,py-32 px-6 max-w-7xl mx-auto border-t border-white/5,827,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.05)",row-cell,card,icon_box,no,no,card → icon_box,,,Apex Architecture Solid rock foundations engineered naturally to provide permanent groundi
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,2,decomposed,py-32 bg-apex-surface relative overflow-hidden border-t border-b border-white/5,806,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.05) | borderBottom=1px solid rgba(255, 255, 255, 0.05)",html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,2,decomposed,py-32 bg-apex-surface relative overflow-hidden border-t border-b border-white/5,806,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.05) | borderBottom=1px solid rgba(255, 255, 255, 0.05)",heading,heading,special_heading,no,no,heading → special_heading,h2,font-heading text-4xl md:text-6xl font-extrabold uppercase tracking-tight text-white leading-none,Decouple from temporal sequences.
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,2,decomposed,py-32 bg-apex-surface relative overflow-hidden border-t border-b border-white/5,806,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.05) | borderBottom=1px solid rgba(255, 255, 255, 0.05)",row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,STAGE I Visual Decompression The eye shifts focal distance from immediate micro-screens to
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,2,decomposed,py-32 bg-apex-surface relative overflow-hidden border-t border-b border-white/5,806,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.05) | borderBottom=1px solid rgba(255, 255, 255, 0.05)",row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,STAGE II Acoustic Erasure Low-frequency machinery hums and atmospheric reflection drop to 
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,2,decomposed,py-32 bg-apex-surface relative overflow-hidden border-t border-b border-white/5,806,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.05) | borderBottom=1px solid rgba(255, 255, 255, 0.05)",row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,STAGE III Noetic Expansion The observer experiences raw integration with structural cosmos
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,3,decomposed,py-32 px-6 max-w-7xl mx-auto,734,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,03 / Structural Telemetry Observational Constants
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,3,decomposed,py-32 px-6 max-w-7xl mx-auto,734,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Real-Time Outpost Matrix
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,3,decomposed,py-32 px-6 max-w-7xl mx-auto,734,no,no,,table,table,table,no,no,table → code_block (unmapped),,,
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,4,decomposed,py-40 bg-[#04060e] border-t border-white/5 relative overflow-hidden,864,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.05)",html,html,code_block,yes,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,4,decomposed,py-40 bg-[#04060e] border-t border-white/5 relative overflow-hidden,864,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.05)",html,html,code_block,yes,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,4,decomposed,py-40 bg-[#04060e] border-t border-white/5 relative overflow-hidden,864,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.05)",heading,heading,special_heading,no,no,heading → special_heading,h2,font-heading text-4xl md:text-6xl font-black uppercase tracking-tight text-white mb-6,Initiate Separation Sequence
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,4,decomposed,py-40 bg-[#04060e] border-t border-white/5 relative overflow-hidden,864,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.05)",newsletter,newsletter,newsletter,no,no,form → newsletter,,,
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,4,decomposed,py-40 bg-[#04060e] border-t border-white/5 relative overflow-hidden,864,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.05)",text,text,text_block,no,no,text → text_block,div,mt-8 font-mono text-[10px] uppercase tracking-[0.25em] text-slate-500,End-to-end data isolation routing active.
