kind,target,evidence,suggested_fx,confidence
trace,trace#0,pinned for ~4881px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
trace,trace#10,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#16,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#19,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#22,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#25,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#29,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#35,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#37,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
css-animation,.ripple,infinite keyframes 'ripple' (transform),physics float/pulse or backgrounds module,low
css-animation,.bloom,keyframes 'bloom' 0.9s,entrance animation (Animate.css picker),low
hover,.silk,"transform, box-shadow change on hover",interaction: {effect:'lift'},medium
hover,.header-cta button,"background-image, background-position-x, background-position-y, background-size change on hover",interaction: {effect:'lift'},medium
hover,.header-bottom a,color change on hover,interaction: {effect:'color_shift'},medium
hover,.btn-primary,transform change on hover,interaction: {effect:'lift'},medium
hover,.btn-secondary,"background-image, background-position-x, background-position-y, background-size change on hover",interaction: {effect:'color_shift'},medium
hover,btn-secondary,"transform, background change on hover",interaction: {effect:'color_shift'},medium
