site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=nature&slug=contemplative-realms,home,0,decomposed,relative min-h-[100svh] flex flex-col items-start justify-center overflow-hidden,900,no,no,,video,video,media_video,no,no,video → media_video (self-hosted),,,
https://openhero.art/api/preview?category=nature&slug=contemplative-realms,home,0,decomposed,relative min-h-[100svh] flex flex-col items-start justify-center overflow-hidden,900,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=nature&slug=contemplative-realms,home,0,decomposed,relative min-h-[100svh] flex flex-col items-start justify-center overflow-hidden,900,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h1,"font-serif text-[clamp(4rem,10vw,8rem)] leading-[0.85] font-bold italic text-white mb-10 drop-shadow-[0_0_15px_rgba(0,0,0,0.9)] drop-shadow-[0_0_5px_rgba(0,0,0,0.9)]",Preserving the Magic.
https://openhero.art/api/preview?category=nature&slug=contemplative-realms,home,0,decomposed,relative min-h-[100svh] flex flex-col items-start justify-center overflow-hidden,900,no,no,,button,button,button,no,no,button → button,button,btn-cherry px-10 py-5 rounded-full font-sans text-xs uppercase tracking-[0.2em] font-bold text-white w-full sm:w-auto,Explore Realms
https://openhero.art/api/preview?category=nature&slug=contemplative-realms,home,0,decomposed,relative min-h-[100svh] flex flex-col items-start justify-center overflow-hidden,900,no,no,,button,button,button,no,no,button → button,button,px-10 py-5 rounded-full font-sans text-xs uppercase tracking-[0.2em] font-bold text-white/80 hover:text-white transition-colors flex items-center justify-center gap-3 w-full sm:w-auto,The Journey
https://openhero.art/api/preview?category=nature&slug=contemplative-realms,home,0,decomposed,relative min-h-[100svh] flex flex-col items-start justify-center overflow-hidden,900,no,no,,text,text,text_block,no,no,text → text_block,span,font-sans text-[9px] uppercase tracking-[0.4em] ,Sumerge Within
https://openhero.art/api/preview?category=nature&slug=contemplative-realms,home,1,decomposed,relative py-32 px-6 lg:px-12 bg-obsidian,799,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=nature&slug=contemplative-realms,home,1,decomposed,relative py-32 px-6 lg:px-12 bg-obsidian,799,no,no,,row-cell,card,icon_box,no,no,card → icon_box,,,"Localized Focus By physicalizing dev terminals beneath hardware arrays, operations are shi"
https://openhero.art/api/preview?category=nature&slug=contemplative-realms,home,1,decomposed,relative py-32 px-6 lg:px-12 bg-obsidian,799,no,no,,row-cell,blocks,special_heading,no,no,content column → decomposed shortcodes,,,Visionary Protocol The architecture of compilation enclaves. Great applications are not bo
https://openhero.art/api/preview?category=nature&slug=contemplative-realms,home,2,decomposed,py-32 px-6 lg:px-12 relative overflow-hidden bg-obsidian,1117,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h2,font-serif text-4xl sm:text-6xl font-bold italic mb-6 text-white,The Contemplative Wall
