site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,0,min-h-screen relative flex items-center px-5 md:px-8 overflow-hidden,background-image,15,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,0,min-h-screen relative flex items-center px-5 md:px-8 overflow-hidden,background-color,8,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,0,min-h-screen relative flex items-center px-5 md:px-8 overflow-hidden,backdrop-filter,9,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,0,min-h-screen relative flex items-center px-5 md:px-8 overflow-hidden,box-shadow,9,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,0,min-h-screen relative flex items-center px-5 md:px-8 overflow-hidden,border,11,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,0,min-h-screen relative flex items-center px-5 md:px-8 overflow-hidden,border-radius,20,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,0,min-h-screen relative flex items-center px-5 md:px-8 overflow-hidden,max-width,4,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,0,min-h-screen relative flex items-center px-5 md:px-8 overflow-hidden,padding,11,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,0,min-h-screen relative flex items-center px-5 md:px-8 overflow-hidden,margin,10,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,0,min-h-screen relative flex items-center px-5 md:px-8 overflow-hidden,gap,6,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,0,min-h-screen relative flex items-center px-5 md:px-8 overflow-hidden,transform,2,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,0,min-h-screen relative flex items-center px-5 md:px-8 overflow-hidden,position-absolute,7,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,0,min-h-screen relative flex items-center px-5 md:px-8 overflow-hidden,display-flex,6,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,0,min-h-screen relative flex items-center px-5 md:px-8 overflow-hidden,display-grid,2,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,1,relative py-40 px-5 md:px-8,background-image,3,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,1,relative py-40 px-5 md:px-8,background-color,7,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,1,relative py-40 px-5 md:px-8,backdrop-filter,3,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,1,relative py-40 px-5 md:px-8,box-shadow,3,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,1,relative py-40 px-5 md:px-8,border,5,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,1,relative py-40 px-5 md:px-8,border-radius,11,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,1,relative py-40 px-5 md:px-8,max-width,2,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,1,relative py-40 px-5 md:px-8,padding,6,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,1,relative py-40 px-5 md:px-8,margin,12,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,1,relative py-40 px-5 md:px-8,gap,4,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,1,relative py-40 px-5 md:px-8,transform,4,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,1,relative py-40 px-5 md:px-8,display-flex,6,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,1,relative py-40 px-5 md:px-8,display-grid,3,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,2,relative py-36 px-5 md:px-8,background-image,2,no
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,2,relative py-36 px-5 md:px-8,background-color,2,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,2,relative py-36 px-5 md:px-8,backdrop-filter,2,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,2,relative py-36 px-5 md:px-8,box-shadow,2,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,2,relative py-36 px-5 md:px-8,border,2,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,2,relative py-36 px-5 md:px-8,border-radius,4,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,2,relative py-36 px-5 md:px-8,max-width,2,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,2,relative py-36 px-5 md:px-8,padding,3,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,2,relative py-36 px-5 md:px-8,margin,7,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,2,relative py-36 px-5 md:px-8,gap,2,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,2,relative py-36 px-5 md:px-8,transform,2,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,2,relative py-36 px-5 md:px-8,display-flex,2,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,2,relative py-36 px-5 md:px-8,display-grid,2,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,3,relative py-40 px-5 md:px-8,background-image,3,no
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,3,relative py-40 px-5 md:px-8,backdrop-filter,3,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,3,relative py-40 px-5 md:px-8,box-shadow,3,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,3,relative py-40 px-5 md:px-8,border,3,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,3,relative py-40 px-5 md:px-8,border-radius,4,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,3,relative py-40 px-5 md:px-8,max-width,3,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,3,relative py-40 px-5 md:px-8,padding,4,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,3,relative py-40 px-5 md:px-8,margin,6,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,3,relative py-40 px-5 md:px-8,gap,1,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,3,relative py-40 px-5 md:px-8,position-absolute,1,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,3,relative py-40 px-5 md:px-8,display-flex,2,yes
https://openhero.art/api/preview?category=abstract&slug=financial-infrastructure-for-internet-businesses,home,3,relative py-40 px-5 md:px-8,display-grid,1,yes
