kind,target,evidence,suggested_fx,confidence
trace,trace#5,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#6,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#9,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
css-animation,.text-refraction,"infinite keyframes 'shine' (background-position-x,background-position-y)",physics float/pulse or backgrounds module,low
css-animation,.scroll-driven,keyframes 'atomic-assemble' auto,entrance animation (Animate.css picker),low
hover,.photon-glow,"background-image, background-color, border-top-color, border-right-color change on hover","interaction: {effect:'scale', scale:{style:'in'}}",medium
hover,.hover\:bg-white\/5,background-color change on hover,interaction: {effect:'color_shift'},medium
hover,.hover\:bg-white\/\[0\.05\],background-color change on hover,interaction: {effect:'color_shift'},medium
hover,.hover\:text-white,"--tw-text-opacity, color change on hover",interaction: {effect:'color_shift'},medium
hover,px-4 py-1.5 rounded-full text-[10px] font-bold uppercase tra,"background, color change on hover",interaction: {effect:'color_shift'},medium
